"lnLik","k","AIC","dAIC","AICwt"
-9528.26390129895,5,19064.5278025979,709.118923375787,1.03921440910596e-154
-9644.83172973092,8,19303.6634594618,948.254580239733,1.22760050553508e-206
-9241.46321156314,10,18500.9264231263,145.517543904181,2.51877693986246e-32
-9162.70443961105,16,18355.4088792221,0,0.999822434430541
-9221.11156908766,14,18468.2231381753,112.814258953207,3.18139654954878e-25
-9206.66498094948,10,18431.329961899,75.9210826768503,3.26489518998806e-17
-9526.83648739455,7,19065.6729747891,710.264095566992,5.86184294128128e-155
-9561.7174019049,10,19141.4348038098,786.025924587691,2.07282213043834e-171
-9365.52249915366,12,18753.0449983073,397.636119085222,4.51166365349085e-87
-9220.55588803097,20,18479.1117760619,123.702896839826,1.3746120001518e-27
-9321.00242902025,16,18672.0048580405,316.595978818405,1.78640358085485e-69
-9202.69654861427,14,18431.3930972285,75.9842180064443,3.16343985211033e-17
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-9362.00713366278,10,18742.0142673256,386.60538810346,1.12106169519674e-84
-9528.26391475098,7,19068.527829502,713.118950279855,1.40640484486594e-155
-9603.14357835247,10,19224.2871567049,868.87827748284,2.11544724419347e-189
-9241.48597916058,12,18504.9719583212,149.563079099062,3.33206068837436e-33
-9167.50789985415,20,18373.0157997083,17.606920486196,0.000150185730806699
-9311.30994262572,16,18652.6198852514,297.211006029331,2.89316323523748e-65
-9206.31533349085,14,18438.6306669817,83.2217877595976,8.48284005391818e-19
-9950.07618537416,9,19916.1523707483,1560.74349152621,0
-9634.77362897823,12,19291.5472579565,936.138378734355,5.24876086101644e-204
-9380.00213966017,14,18786.0042793203,430.595400098227,3.14282196407189e-94
-9165.20996566076,24,18376.4199313215,21.0110520994131,2.73798386518151e-05
-9346.94767305303,18,18727.8953461061,372.486466883962,1.30471093331585e-81
-9250.05438537703,18,18534.1087707541,178.699891531953,1.56940297989179e-39
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-9434.31705944628,12,18890.6341188926,535.225239670446,5.98740720049937e-117
