"area","tip_avg_turn","tip_avg_ef","tip_avg_rate","predicted_turn"
1,0.130420139543097,4.11695522493125e-09,0.540949759186459,0.140755286199366
1,0.130420139564855,4.1169552253484e-09,0.540949759186459,0.140755286199724
0,0.130240161167248,0,3.68086195897318,0.137217928280111
0,0.130727713097996,0,3.68086195897318,0.137217928280111
2,0.130727713474968,4.04482408474975e-09,1.09958229912072,0.140693309897462
1,0.130290420695065,4.11677253846287e-09,0.540949759186459,0.140755129232046
1,0.130018578279428,4.11660945543393e-09,0.540949759186458,0.140754989108335
0,0.130018577845524,0,3.68086195897318,0.137217928280111
1,0.130132023589905,4.11660947685801e-09,0.540949759186459,0.140754989126743
1,0.130093566415529,4.1165799323201e-09,0.540949759186459,0.140754963741574
2,0.130049632899136,4.04861447245833e-09,1.09958229912072,0.140696566663019
1,0.13004963286258,4.11671154120591e-09,0.540949759186459,0.140755076822166
1,0.130127589965407,4.11671105238231e-09,0.540949759186459,0.140755076402161
1,0.130127590042901,4.11671105265500e-09,0.540949759186459,0.140755076402395
1,0.130440730276325,4.11699395523923e-09,0.540949759186458,0.140755319477105
0,0.130392522049652,0,3.68086195897318,0.137217928280111
1,0.130392525352854,4.11691072204695e-09,0.540949759186459,0.140755247961731
1,0.130422926587271,4.11695968497911e-09,0.540949759186458,0.140755290031515
0,0.130350383589714,0,3.68086195897318,0.137217928280111
1,0.130299892025901,4.11677764707458e-09,0.540949759186459,0.140755133621452
1,0.130257728522574,4.11673778718997e-09,0.540949759186459,0.140755099373162
2,0.135494349006898,4.01161428421168e-09,1.09958229912072,0.140664775472259
2,0.135494349008444,4.01161428428024e-09,1.09958229912072,0.140664775472318
0,0.130438613935375,0,3.68086195897318,0.137217928280111
1,0.130437922714458,4.1169881370747e-09,0.540949759186459,0.140755314478039
1,0.130431589412942,4.11697574043352e-09,0.540949759186459,0.140755303826634
2,0.130109496968294,4.04811101391743e-09,1.09958229912072,0.140696134082882
0,0.130109497012015,0,3.68086195897318,0.137217928280111
2,0.130401090723216,4.0451336439065e-09,1.09958229912072,0.140693575875952
1,0.130398939773195,4.11726202751082e-09,0.540949759186459,0.140755549809358
2,0.131592083403813,4.03895144151485e-09,1.09958229912072,0.140688264022557
2,0.131592083402341,4.03895144152904e-09,1.09958229912072,0.140688264022569
0,0.130378798284453,0,3.68086195897318,0.137217928280111
1,0.130378799484494,4.1168900715384e-09,0.540949759186459,0.140755230218463
0,0.147000288696087,0,3.68086195897318,0.137217928280111
2,0.147000288871413,3.97279196118063e-09,1.09958229912072,0.140631418672314
1,0.144712649258643,4.13828068835497e-09,0.540949759186459,0.140773609400081
1,0.163136029309466,4.19014704736366e-09,0.540949759186459,0.140818173857492
1,0.163136029302369,4.19014704737296e-09,0.540949759186459,0.1408181738575
1,0.181398528463122,4.20194119671125e-09,0.540949759186459,0.140828307591117
1,0.183910639439406,4.20439548316291e-09,0.540949759186459,0.14083041635576
1,0.183910639444993,4.20439548317761e-09,0.540949759186459,0.140830416355773
1,0.181600177315382,4.20234896839637e-09,0.540949759186459,0.140828657955481
1,0.181600177316957,4.20234896840119e-09,0.540949759186459,0.140828657955485
1,0.165344805855887,4.19195598451689e-09,0.540949759186458,0.140819728127047
1,0.16534480595579,4.19195598476581e-09,0.540949759186458,0.140819728127261
0,0.170916175690346,0,3.68086195897318,0.137217928280111
1,0.180368537048745,4.20145724679959e-09,0.540949759186459,0.140827891773125
1,0.181885454330814,4.20303452811551e-09,0.540949759186458,0.140829247000047
1,0.181885454342595,4.2030345281452e-09,0.540949759186459,0.140829247000072
1,0.175296423773323,4.19696369417248e-09,0.540949759186459,0.140824030836316
1,0.173793430130146,4.19896748533122e-09,0.540949759186459,0.140825752527745
0,0.173793430204655,0,3.68086195897318,0.137217928280111
1,0.171365377103579,4.19637621354424e-09,0.540949759186459,0.140823526062973
0,0.161960637473766,0,3.68086195897318,0.137217928280111
2,0.161960638195705,4.07606852121939e-09,1.09958229912072,0.140720155648445
0,0.156421712461275,0,3.68086195897318,0.137217928280111
2,0.130400349101337,4.04528738333847e-09,1.09958229912072,0.140693707971485
2,0.130093750941048,4.04817186803938e-09,1.09958229912072,0.140696186369778
2,0.130093750935177,4.04817186807901e-09,1.09958229912072,0.140696186369812
1,0.272592391794474,4.22877538929853e-09,0.540949759186459,0.140851363985581
2,0.281546839528608,2.70199225992685e-09,1.09958229912072,0.13953952596486
0,0.284470897714021,0,3.68086195897318,0.137217928280111
1,0.28447089799429,4.23133025907449e-09,0.540949759186459,0.140853559173126
0,0.288926056860922,0,3.68086195897318,0.137217928280111
0,0.288926056860961,0,3.68086195897318,0.137217928280111
1,0.287195163156404,4.2324132320853e-09,0.540949759186459,0.140854489681948
0,0.286614337211208,0,3.68086195897318,0.137217928280111
2,0.286614337500793,2.64318492537702e-09,1.09958229912072,0.139488997703265
2,0.286699640276622,2.64374818016112e-09,1.09958229912072,0.139489481661351
1,0.286699640207595,4.23237365454125e-09,0.540949759186459,0.140854455676249
2,0.290676869079895,2.61667240801096e-09,1.09958229912072,0.13946621769762
2,0.290676869079854,2.61667240801121e-09,1.09958229912072,0.139466217697621
2,0.285789226570122,2.65371299288868e-09,1.09958229912072,0.139498043597853
2,0.285789226577392,2.65371299280693e-09,1.09958229912072,0.139498043597783
1,0.281007001126925,4.23031235118151e-09,0.540949759186459,0.140852684569359
1,0.268169844655431,4.22835421597038e-09,0.540949759186459,0.140851002106297
1,0.2699002734942,4.22905690020823e-09,0.540949759186459,0.14085160586454
