"lnLik","k","AIC","dAIC","AICwt"
-307.105105646641,5,622.210211293282,71.2061833941992,1.66702072961759e-16
-283.975348399281,8,581.950696798562,30.9466688994795,9.20838555589677e-08
-269.203688311733,10,556.407376623465,5.40334872438223,0.0324223877772644
-269.08485508484,16,568.169710169681,17.1656822705979,9.05079480706834e-05
-279.609547833575,14,585.219095667149,34.2150677680663,1.79663434822292e-08
-268.264799827993,10,554.529599655985,3.52557175690208,0.082908504862023
-295.280672007101,7,602.561344014202,51.5573161151186,3.0806213280865e-12
-283.826787250108,10,585.653574500216,34.6495466011331,1.44581863644085e-08
-266.515583559521,12,555.031167119041,4.02713921995803,0.0645186234105352
-261.671512716271,20,561.343025432541,10.3389975334582,0.0027484160403908
-265.655859912791,16,561.311719825581,10.307691926498,0.00279177491524899
-264.242445733553,14,554.484891467106,3.48086356802321,0.0847827195499698
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-266.502013949541,10,551.004027899083,0,0.483244881956999
-295.683889627384,7,603.367779254768,52.3637513556846,2.05836851551134e-12
-283.978449147928,10,585.956898295855,34.9528703967724,1.2423612388224e-08
-272.003914125482,12,566.007828250965,15.0038003518818,0.000266767803492099
-261.382770962233,20,560.765541924467,9.76151402538369,0.00366844003991442
-270.497029936393,16,570.994059872785,19.9900319737023,2.20489023207717e-05
-278.207286389988,14,582.414572779975,31.4105448808922,7.30220641908503e-08
-294.946013128584,9,605.892026257169,54.8879983580858,5.82625995907738e-13
-294.063503525517,12,610.127007051034,59.1229791519505,7.01092729550963e-14
-299.189471743708,14,624.378943487417,73.3749155883336,5.63646465586974e-17
-261.84791720928,24,569.695834418559,18.6918065194762,4.21981147720461e-05
-265.475115495757,18,564.950230991514,13.9462030924311,0.000452676281620584
-259.508645087855,18,553.01729017571,2.01326227662673,0.176600900780378
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-266.501419957251,12,555.002839914501,3.99881201541803,0.0654389416571465
