"lnLik","k","AIC","dAIC","AICwt"
-463.685092351407,5,935.370184702814,15.0830645697713,0.000153994295099179
-458.273889968963,8,930.547779937927,10.2606598048843,0.00171662930274307
-460.336773443667,10,938.673546887333,18.3864267542909,2.95249144536118e-05
-450.589011371544,16,931.178022743087,10.8909026100446,0.0012526248852618
-456.56846483768,14,939.13692967536,18.8498095423174,2.34188925523324e-05
-458.519378708142,10,935.038757416283,14.7516372832407,0.000181749469975714
-454.143560066521,7,920.287120133043,0,0.290235471099512
-453.282666058952,10,924.565332117903,4.27821198486095,0.0341781506626038
-455.220888682611,12,932.441777365222,12.1546572321799,0.000665886493418273
-450.888150108193,20,939.776300216386,19.4891800833435,1.70109592842776e-05
-450.178536379561,16,930.357072759121,10.0699526260786,0.0018883742048043
-454.144054181242,14,934.288108362484,14.0009882294411,0.000264529751517915
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-451.233221531711,10,920.466443063421,0.179322930378703,0.265345061446535
-460.155487959244,7,932.310975918487,12.0238557854448,0.000710891594470997
-455.683397054525,10,929.36679410905,9.07967397600771,0.00309830619921327
-449.705663693035,12,921.411327386071,1.12420725302809,0.165436748306494
-454.982191109294,20,947.964382218588,27.6772620855459,2.83602065566661e-07
-456.181010037355,16,942.362020074711,22.074899941668,4.66924725334706e-06
-450.920861483974,14,927.841722967948,7.55460283490584,0.00664185402647098
-454.143560261707,9,924.287120523413,4.00000039037081,0.0392790920198578
-451.442119616069,12,924.884239232138,4.59711909909572,0.0291406181389669
-450.638316783486,14,927.276633566972,6.98951343392991,0.00881042646636577
-452.577597617134,24,951.155195234268,30.868075101225,5.75218899518495e-08
-448.794755211094,18,931.589510422189,11.3023902891463,0.00101968873427312
-451.105472249311,18,936.210944498622,15.9238243655791,0.000101143030539753
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-449.804926226574,12,921.609852453149,1.32273232010596,0.149803794734377
