"lnLik","k","AIC","dAIC","AICwt"
-518.21053377046,5,1044.42106754092,23.8049429593534,3.43484380819317e-06
-514.905226975728,8,1043.81045395146,23.1943293698905,4.66122481148843e-06
-505.864678535954,10,1029.72935707191,9.11323249034126,0.00532318287633772
-505.02218672901,16,1040.04437345802,19.4282488764532,3.06403722945655e-05
-506.880834582931,14,1039.76166916586,19.1455445842955,3.52925058129257e-05
-507.833929820218,10,1033.66785964044,13.0517350588705,0.00074291036949886
-504.951900878722,7,1021.90380175744,1.28767717587846,0.266360077102518
-515.63723082568,10,1049.27446165136,28.6583370697947,3.03393207193197e-07
-504.304754345648,12,1030.6095086913,9.9933841097295,0.0034280637581317
-528.80240403924,20,1095.60480807848,74.9886834969143,2.63936196522104e-17
-504.986905076801,16,1039.9738101536,19.3576855720348,3.17407120160249e-05
-503.053661553662,14,1032.10732310732,11.4911985257581,0.00162107318820765
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-503.950880196083,10,1025.90176039217,5.2856358106003,0.0360847287437435
-505.879312963078,7,1023.75862592616,3.14250134459053,0.10536568168262
-513.329243150288,10,1044.65848630058,24.0423617190102,3.05036749683357e-06
-499.308062290783,12,1020.61612458157,0,0.507089569997366
-501.009806613052,20,1040.0196132261,19.4034886445381,3.10220614595894e-05
-499.353205743881,16,1028.70641148776,8.09028690619539,0.00887771497762292
-501.905629318091,14,1029.81125863618,9.19513405461635,0.00510959746602492
-504.999277738904,9,1025.99855547781,5.38243089624143,0.0343799039621317
-511.733753159897,12,1045.46750631979,24.8513817382268,2.03552152665966e-06
-506.246098135578,14,1038.49219627116,17.8760716895893,6.65801901986632e-05
-494.743666412573,24,1035.48733282515,14.8712082435793,0.000299118199653755
-507.222955611297,18,1048.44591122259,27.8297866410269,4.59116913943313e-07
-504.057333933184,18,1042.11466786637,21.4985432848027,1.08826664685402e-05
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-502.313950838704,12,1026.62790167741,6.01177709584067,0.0250982747001294
