"lnLik","k","AIC","dAIC","AICwt"
-527.663138398436,5,1063.32627679687,70.4603027914052,4.4439404231527e-16
-518.833409188612,8,1051.66681837722,58.8008443717563,1.51212416848375e-13
-504.447913179598,10,1026.8958263592,34.029852353729,3.61859540343697e-08
-499.31967245303,16,1028.63934490606,35.7733709005915,1.51335140812797e-08
-504.396981035901,14,1034.7939620718,41.9279880663341,6.97399527075126e-10
-521.321061100983,10,1060.64212220197,67.7761481964978,1.70068935195005e-15
-497.311152688724,7,1006.62230537745,13.7563313719796,0.000913858956804839
-518.967127995283,10,1055.93425599057,63.0682819850992,1.79029727721725e-14
-497.495595700478,12,1016.99119140096,24.1252173954877,5.12040344385294e-06
-477.432987002734,20,992.865974005468,0,0.887214387218107
-496.078769081016,16,1022.15753816203,29.2915641565635,3.86764171771897e-07
-486.261821055458,14,998.523642110915,5.65766810544733,0.0524181339712368
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-496.47399971998,10,1010.94799943996,18.082025434492,0.000105091270356078
-502.905278124826,7,1017.81055624965,24.9445822441834,3.39923636962307e-06
-518.013964019017,10,1054.02792803803,61.1619540325655,4.64385880203413e-14
-500.403717686735,12,1022.80743537347,29.9414613680013,2.7946205589629e-07
-489.097851254605,20,1016.19570250921,23.3297285037431,7.62153413469486e-06
-501.468662742628,16,1032.93732548526,40.0713514797881,1.76459547310209e-09
-487.43744346314,14,1000.87488692628,8.00891292081269,0.0161776424270237
-544.472700220747,9,1104.94540044149,112.079426436026,4.07652732516211e-25
-516.223044721401,12,1054.4460894428,61.5801154373346,3.7677008322602e-14
-496.956795328715,14,1019.91359065743,27.0476166519627,1.18771774619844e-06
-486.774360263297,24,1019.54872052659,26.6827465211264,1.4254230840689e-06
-495.821805727797,18,1025.64361145559,32.7776374501254,6.76791722745906e-08
-486.260741899615,18,1006.52148379923,13.6555097937623,0.000961108239168851
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-488.478884837212,12,998.957769674424,6.09179566895625,0.0421902359154061
