"","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36"
"Antirrhineae-Gorospe_et_al-2020",0,0,0,0,0,0,0.028,0.012,0,0,0.005,0.006,0.097,0.024,0.083,0.034,0.194,0.026,0.014,0.004,0,0,0.01,0.022,0,0,0.084,0.001,0.016,0,0.026,0.008,0.194,0.095,0.011,0.005
"Apioideae-Banasiak_et_al-2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0
"Arabideae-Huang_et_al-2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0,0,0,0.423,0,0
"Arecaceae-Onstein_et_al-2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992,0,0,0.008
"Carex-MartinBravo_et_al-2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798,0.13,0.053,0.019
"Eucalypts-Thornhill_et_al-2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Fagales-Xing_et_al-2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898,0.001,0,0,0.055,0,0.046
"Mimosoids_Ringelberg_et_al_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NeoAstragalus-Folk_et_al-2024",0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onagraceae-Freyman_&_Hohna-2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0.054,0,0,0,0.768
"Restionaceae-Linder-2020",0,0.023,0,0.006,0,0.008,0.005,0,0,0.002,0,0,0.402,0.003,0.158,0.079,0,0,0.107,0.002,0,0,0,0,0,0,0,0,0.159,0.037,0,0.009,0,0,0,0
"Salvia-Kriebel_et_al-2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.003,0.005,0.012,0.022,0.001,0,0.816,0,0.076,0.034,0.025,0.001,0.002
"Solanaceae-Sarkinen_et_al-2013",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
