"closed","widespread","open"
0.377100757363073,0.622899242636888,3.9225294430317e-14
0.519133804838775,0.480866122130235,7.30309896622179e-08
0.428789912677408,0.571209664966087,4.22356504950324e-07
0.0189210423756468,0.0497134578920281,0.931365499732325
0.00408254805699406,0.0128436002557364,0.98307385168727
0.000532737788579819,0.00211260561325416,0.997354656598166
5.89537833826766e-05,0.000272899510680889,0.999668146705936
6.21413807334243e-06,2.58374071705168e-05,0.999967948454756
5.05399096765475e-07,1.7815817457271e-06,0.999997713019158
1.29398707307564e-07,4.08749132987773e-07,0.99999946185216
2.53606714273732e-09,1.2104939732211e-08,0.999999985358993
2.16496116488037e-11,1.3614824362021e-10,0.999999999842202
7.72374395382149e-12,3.58085779702274e-11,0.999999999956468
2.91569816028153e-12,1.62503907196301e-11,0.999999999980834
5.03833961629917e-12,2.3024616023418e-11,0.999999999971937
2.56012323142596e-11,7.40731999846536e-11,0.999999999900326
2.6949245757777e-12,1.42779342426901e-11,0.999999999983027
1.5057594125152e-10,6.06685556469371e-10,0.999999999242738
7.64452020415706e-12,3.45169995170091e-11,0.999999999957839
1.65290128755611e-12,1.09231741573751e-11,0.999999999987424
1.73743766776074e-12,1.08466614893038e-11,0.999999999987416
3.88341729321725e-12,1.66434444906971e-11,0.999999999979473
4.47414899774437e-12,1.83419117976122e-11,0.999999999977184
6.01070103965699e-12,2.23207959352717e-11,0.999999999971669
6.26376274109945e-12,2.55444057852075e-11,0.999999999968192
5.27431167488907e-12,2.14617651833323e-11,0.999999999973264
4.92284879749405e-11,1.05308018329478e-10,0.999999999845464
1.6087958731052e-07,2.08539812131371e-07,0.999999630580601
7.94580941271705e-07,1.47239289750685e-06,0.999997733026161
6.92812378586322e-09,2.40413350145144e-08,0.999999969030541
1.30830615746486e-11,1.08573143693387e-10,0.999999999878344
1.32535287760345e-12,1.06450661834193e-11,0.99999999998803
1.10113704560171e-12,7.90889757956357e-12,0.99999999999099
1.582127542798e-13,2.29054437274858e-12,0.999999999997551
7.86522960417173e-14,1.45754772007069e-12,0.999999999998464
3.5052568497365e-13,4.0203953047796e-12,0.999999999995629
9.19452041158505e-13,6.9314781802424e-12,0.999999999992149
9.95012215550603e-13,7.18031957802114e-12,0.999999999991825
5.75600934926119e-09,1.35513089229836e-08,0.999999980692682
1.61741347854328e-08,3.94059865890753e-08,0.999999944419879
1.4876133812518e-10,6.9268151996841e-10,0.999999999158557
5.04964357825034e-13,6.50127381919713e-12,0.999999999992994
3.52302466869105e-13,3.7970525798513e-12,0.999999999995851
1.89879340206278e-13,2.55954848928666e-12,0.999999999997251
1.24430683617418e-12,9.16640875021136e-12,0.999999999989589
2.02209691916334e-05,2.60976557192013e-05,0.999953681375089
5.84617480288085e-05,8.78319326113776e-05,0.99985370631936
0.000273994670971181,0.000426779483802186,0.999299225845227
7.54044665026721e-06,6.84359075886354e-05,0.999924023645761
3.80275631226933e-06,2.02841566723119e-05,0.999975913087015
5.4106523215234e-08,2.66009880489982e-07,0.999999679883596
3.07706315891808e-09,9.36432964424698e-09,0.999999987558607
2.47969500469096e-11,1.03144136863444e-10,0.999999999872059
1.98290894513722e-11,8.8950391152914e-11,0.999999999891221
8.56107298052878e-09,1.92409455733154e-08,0.999999972197981
3.86098725497687e-07,7.10038054638726e-07,0.99999890386322
5.45288637203067e-06,1.06263161544231e-05,0.999983920797474
0.484026862253128,0.5159727207599,4.16986972878852e-07
0.00568541515157476,0.0145258280642841,0.979788756784141
5.61822427801794e-05,0.000294654389321027,0.999649163367899
9.27538732595989e-06,4.22245352637739e-05,0.99994850007741
3.25040908422686e-08,4.05912965497079e-07,0.999999561582944
3.42643262805521e-09,3.0234126434037e-08,0.999999966339441
2.00085477375077e-09,5.16565452021247e-09,0.999999992833491
2.0225776672396e-10,3.80435997451679e-10,0.999999999417306
4.35320068336732e-09,8.79066259278319e-09,0.999999986856137
1.25901435866622e-08,4.9878427724931e-08,0.999999937531429
6.4150279507043e-10,1.31750446813987e-09,0.999999998040993
2.02974511394823e-13,3.60695545177646e-12,0.99999999999619
5.61367338101863e-09,8.74484823110133e-09,0.999999985641478
2.63040719459913e-05,6.40174134198191e-05,0.999909678514634
5.07455145004563e-06,8.61365251467053e-06,0.999986311796035
4.94598628232927e-07,7.82834805405529e-07,0.999998722566567
0.000830040178972767,0.0011598388891503,0.998010120931877
5.34968976801391e-06,1.58229144951305e-05,0.999978827395737
8.06318833129504e-08,2.98039610688366e-07,0.999999621328506
0.542746677554061,0.457253322445939,1.76859050364639e-16
