"area","tip_avg_turn","tip_avg_ef","tip_avg_rate","predicted_turn"
0,0.0999035028223114,0,0.164090149040806,0.100347653683771
2,0.124031867437628,0.0112853029210936,0.148798877507099,0.0994940485436377
0,0.099626619787973,0,0.163752049379943,0.100347653683771
0,0.0996496556996817,0,0.164027443626319,0.100347653683771
0,0.102265521172902,0,0.168200537135838,0.100347653683771
2,0.126379194967942,0.0117659979343728,0.150770184813559,0.0994576894191162
0,0.104288280355747,0,0.172216755103721,0.100347653683771
1,0.031793831082597,1.2983722898124,0.0380033507139176,0.00214051931266546
1,0.0168727110924182,0.296839512797617,0.0273741428653633,0.0778951120293421
1,0.0168727110952826,0.296839512903822,0.0273741428658472,0.0778951120213089
1,0.0173096890502565,0.333917830212432,0.0276624286443066,0.0750905579509911
1,0.0176071636350628,0.359938589967769,0.0278680742819837,0.0731223826673828
1,0.0170794831619834,0.315733892530006,0.0275244387222026,0.0764659665494231
1,0.017079483165525,0.315733892653787,0.0275244387226836,0.0764659665400604
1,0.0176303804395729,0.36258529662845,0.0278903789809509,0.0729221893340023
1,0.0182660778072595,0.415222048248707,0.028307606839505,0.0689408162102922
1,0.0177147352521682,0.346872541124012,0.0278168675835605,0.0741106810349363
1,0.0177147352554675,0.346872541212074,0.0278168675830931,0.0741106810282754
1,0.0183675667473443,0.421129041088963,0.0283484355096945,0.0684940192136649
1,0.018658985108342,0.444861471260846,0.0285342748398004,0.0666989301031451
1,0.017245279661978,0.328290918644329,0.0276494909227987,0.0755161699767552
1,0.0172452796652465,0.328290918752923,0.0276494909233253,0.0755161699685413
1,0.0178948855287312,0.381598984894872,0.0280682841312382,0.0714840195169766
1,0.0176054109599147,0.359633903929387,0.0278753087101057,0.073145428709683
1,0.0176054109656568,0.359633904119736,0.0278753087105045,0.0731454286952853
1,0.0177651937647233,0.372886866824919,0.027975961279841,0.0721429924145547
1,0.0177651937672656,0.37288686692852,0.0279759612803908,0.0721429924067184
1,0.0184846767125221,0.407599237926414,0.0283424621251731,0.0695173953343854
1,0.0184846767168278,0.407599238017497,0.028342462123226,0.069517395327496
2,0.123517868860731,0.0108953011911841,0.148582660718161,0.0995235477501401
0,0.0996360628301549,0,0.164026940614027,0.100347653683771
2,0.1234611179893,0.0102280683769678,0.148733962118845,0.099574016343129
0,0.0983166781640832,0,0.162182385350046,0.100347653683771
1,0.0313442718545479,1.28649712636279,0.0378829720183793,0.00303874071012211
2,0.123404284669994,0.00985896409196824,0.148823483547627,0.0996019348949945
1,0.0235072896528988,0.755684754044007,0.0326601894830211,0.0431886748878519
1,0.0235072896559801,0.755684754057712,0.0326601894885087,0.0431886748868153
1,0.0306703801614995,1.22853640129587,0.0371399018458069,0.00742281202738375
2,0.130804156900029,0.0118116244153591,0.155260968107848,0.0994542382934381
0,0.103256620934652,0,0.170358559333041,0.100347653683771
1,0.0326437396153009,1.36161409745076,0.0384959905956291,-0.00264300599001185
1,0.0288264994498344,1.13774528705805,0.0358494903321749,0.0142901298418637
1,0.0317328729603928,1.28515829120423,0.0380512802308034,0.00314000840148408
2,0.139755504477305,0.0148399240831644,0.162222378899656,0.0992251817780413
1,0.0309197986921992,1.24367651225049,0.0374474451589958,0.00627763439029107
0,0.107106486874714,0,0.176264973970967,0.100347653683771
1,0.033363893968522,1.39680276707821,0.0389480348388804,-0.00530462965031199
0,0.103855089470141,0,0.170758383677653,0.100347653683771
1,0.0174116781698192,0.340914856733321,0.0277227227081304,0.0745613122722849
1,0.0174116781709303,0.34091485678135,0.0277227227082581,0.074561312268652
1,0.0176459372366998,0.36008922563406,0.0278738208952533,0.0731109887881106
1,0.0179408962037078,0.384009643378107,0.0280788388792729,0.071301680550377
1,0.0188433061436661,0.449240990740285,0.0287329983126659,0.0663676691378789
1,0.022374487581812,0.695846117259921,0.0316238193893507,0.0477147889225928
1,0.0223744875825207,0.695846117191929,0.03162381939063,0.0477147889277356
1,0.0258554550438891,0.939701989216127,0.0338476669377324,0.0292698586261779
1,0.0231740696628635,0.727535524592456,0.0327905116818097,0.0453178447576055
1,0.023174069667608,0.727535524687051,0.0327905116860933,0.0453178447504505
0,0.0973294213057076,0,0.160525508670674,0.100347653683771
1,0.034995497976783,1.5223385944594,0.0402459535251624,-0.0147999908535259
0,0.101306875900418,0,0.166940989827602,0.100347653683771
2,0.123772478168238,0.0104863114692897,0.148906808720485,0.0995544831828274
2,0.123772478169233,0.0104863114700855,0.148906808731602,0.0995544831827672
2,0.123643015618834,0.0102204938147091,0.14886335791889,0.0995745892728344
2,0.123321541007302,0.00977180487870674,0.148676564001448,0.0996085275007022
2,0.123156501165193,0.0102175703588268,0.148382722760719,0.0995748103991068
0,0.0985963079282084,0,0.162485019644188,0.100347653683771
0,0.0978168660295098,0,0.161443970412508,0.100347653683771
2,0.12243899862511,0.00869131176819589,0.148085696358193,0.0996902545468842
1,0.0287764815278507,1.0996306066175,0.0361451837572291,0.0171730730261162
0,0.111317471713568,0,0.186190822931586,0.100347653683771
1,0.0279812222166861,1.05498144718355,0.0356300421005734,0.0205502754159796
1,0.0284703311946919,1.10011550821532,0.0358967449674943,0.0171363957211958
0,0.0980574503164515,0,0.161596031354928,0.100347653683771
2,0.123008852146715,0.00993230951469831,0.148413932951856,0.0995963871458304
1,0.0241664111031894,0.831411186215973,0.0324157488128732,0.0374608293707305
1,0.0241664111106325,0.831411186657946,0.0324157488617016,0.0374608293373002
2,0.123656603714185,0.0102242119824151,0.149090925189016,0.0995743080356281
1,0.0331984026946993,1.40519579468619,0.0391634118677415,-0.00593946697435618
