"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"Lecythidaceae (104)",0.023,0.025,0.066,0.009,0.007,0.009,0.115,0.004,0.024,0.003,0.091,0.002,0.28,0.102,0.103,0.009,0.034,0.005,0.013,0,0,0,0.006,0,0.001,0,0.008,0,0.034,0.01,0.012,0,0.002,0,0.001,0
"Lepidieae (91)",0.001,0.012,0.009,0.001,0.002,0.005,0.001,0.005,0.003,0,0.022,0.002,0.229,0.045,0.084,0.016,0.023,0.01,0.001,0.002,0,0.012,0,0.001,0.046,0,0.018,0,0.247,0.095,0.091,0.006,0.003,0,0.007,0
"Lobelioideae (117)",0.006,0.001,0.001,0.007,0.002,0,0.015,0,0,0,0.002,0,0.687,0.014,0.221,0.005,0.002,0.003,0.001,0,0,0,0.001,0,0,0,0,0,0.025,0,0.008,0,0,0,0,0
"Lupinus (95)",0,0.022,0.155,0.045,0,0.008,0,0,0.057,0.017,0.021,0.001,0,0.003,0.003,0,0.006,0.002,0.002,0,0,0,0,0.001,0.001,0.001,0.002,0,0.198,0.086,0.343,0,0.001,0.024,0,0
"Lysimachieae (94)",0.004,0.004,0.027,0.002,0.002,0.001,0.01,0.051,0.01,0.001,0.016,0.024,0.12,0.001,0.047,0.125,0.104,0.055,0.097,0,0,0.097,0.002,0.006,0.013,0.047,0.016,0,0.021,0.07,0.008,0.003,0.012,0,0.005,0
"Melastomataceae (1811)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,0.001,0,0,0.26
"Meliaceae (217)",0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.136,0,0.019,0.133,0.118,0.049,0.008,0,0,0,0,0,0,0,0,0.002,0.075,0.182,0.005,0.117,0.029,0.124,0.002
"Mimosoids (1610)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrteae (502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0.09,0.244,0
"Onagraceae (254)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.316,0.01,0.028,0.257,0.031
"Paepalanthus (140)",0,0,0,0,0,0,0,0.033,0,0,0.002,0.063,0.004,0.033,0.002,0.036,0.001,0.1,0.007,0.023,0,0,0.017,0.038,0,0.005,0.018,0.333,0.116,0,0.067,0.057,0.001,0.001,0.037,0.005
"Poaceae (2632)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Primulaceae (192)",0,0,0,0,0,0,0.017,0.002,0,0,0.005,0,0.005,0.067,0.414,0.016,0.006,0.009,0.037,0,0,0,0,0,0.003,0.001,0.001,0,0.021,0.004,0.385,0.001,0,0.002,0.003,0
"Quercus (139)",0.017,0.011,0.051,0.007,0.006,0.004,0.002,0,0.019,0.003,0.007,0,0.424,0.142,0.156,0.008,0.072,0.008,0.027,0.001,0,0,0,0,0.008,0.001,0,0,0.01,0.008,0.004,0,0.004,0,0.002,0
"Restionaceae (78)",0.001,0.272,0.322,0.044,0.001,0.1,0.002,0.005,0.118,0.016,0.043,0.001,0.005,0.037,0.002,0.002,0.006,0.001,0.002,0,0,0.002,0.005,0,0.002,0,0.001,0,0.007,0.001,0.003,0,0,0,0,0
"Ruellia (120)",0,0.001,0.007,0.001,0,0,0,0,0.002,0,0.002,0,0,0.001,0.001,0,0,0,0.001,0,0,0.002,0,0.001,0.087,0.012,0.301,0.031,0.1,0.007,0.037,0.001,0.261,0.043,0.098,0.004
"Salvia (330)",0,0,0,0,0,0,0.003,0,0,0,0,0,0.007,0.002,0.013,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.001,0.389,0.002,0,0.162,0.086,0.33,0.001
"Solanaceae (874)",0,0,0,0,0,0,0,0,0,0,0.004,0.047,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermacoceae (151)",0.009,0.01,0.045,0.013,0.003,0.004,0.002,0.009,0.016,0.005,0.006,0.003,0.001,0.001,0.003,0.002,0.002,0.001,0.001,0.001,0.041,0.088,0.012,0,0.265,0.062,0.132,0.001,0.147,0.024,0.059,0.008,0.022,0.001,0.001,0
"Thelypodieae (83)",0.237,0.085,0.149,0.02,0.087,0.031,0.032,0.007,0.055,0.007,0.044,0,0.032,0.092,0.012,0.005,0.02,0.003,0.007,0,0.002,0.003,0.01,0.001,0.002,0.001,0.01,0,0.004,0.01,0.004,0.001,0.017,0.002,0.006,0
"Vanguerieae (134)",0,0.407,0.007,0.116,0,0.15,0,0.007,0.003,0.042,0.004,0.002,0,0.055,0,0.018,0.005,0.084,0.002,0.001,0.001,0.003,0.002,0.001,0,0.001,0.001,0.001,0.047,0.013,0.021,0.002,0.002,0.003,0,0
"Velloziaceae (94)",0,0.018,0.003,0.001,0,0.007,0.05,0.001,0.001,0.001,0.118,0.001,0.086,0.048,0.032,0.002,0.048,0.006,0.018,0,0,0,0.004,0.013,0,0,0.006,0,0.006,0.454,0.002,0.013,0.023,0.032,0.005,0
"Viburnum (126)",0.03,0.018,0.01,0.003,0.011,0.006,0.145,0.009,0.004,0.001,0.041,0.002,0.126,0.314,0.046,0.038,0.038,0.003,0.035,0,0.001,0.001,0.019,0.001,0,0,0.047,0,0.03,0.005,0.006,0.001,0.007,0,0.004,0
"Vrieseinae (56)",0.19,0.047,0.035,0.004,0.07,0.017,0.267,0.008,0.018,0.003,0.039,0.001,0.028,0.004,0.174,0.004,0.013,0.002,0.006,0,0.001,0.003,0.014,0,0,0,0.003,0,0.029,0.004,0.011,0,0.001,0,0.001,0
