"clade","model","loglik","AICc","turnover01A","turnover10A","turnover11A","eps01A","eps10A","eps11A","q01A_11A","q10A_11A","q11A_01A","q11A_10A","q01A_01B","q10A_10B","q11A_11B","turnover01B","turnover10B","turnover11B","eps01B","eps10B","eps11B","q01B_11B","q10B_11B","q11B_01B","q11B_10B","q01B_01A","q10B_10A","q11B_11A"
"Antirrhineae-Gorospe_et_al-2020","M1",-904.3597200632,1821.03170778439,0.731598884189193,0.731598884189193,0.731598884189193,0.735964952931624,0.735964952931624,0.735964952931624,0.804195913659797,0.17235556391299,0.68637786543204,0.582485618737484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antirrhineae-Gorospe_et_al-2020","M2",-896.612641700843,1814.05547208093,0.185885118032052,0.79606736234829,0.8615062781463,2.06115362243856e-09,2.13246371540259,2.06115362243856e-09,0.481827458126622,0.0880728034463206,0.23499803904453,1.10205736609779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antirrhineae-Gorospe_et_al-2020","M3",-882.275593853755,1791.94050068461,0.29169568605346,0.29169568605346,0.29169568605346,0.464747191326232,0.464747191326232,0.464747191326232,0.637567889967078,0.752716381708247,0.598804907475579,2.69745159171478,0.00707116239514427,0.00707116239514427,0.00707116239514427,0.536735323234456,0.536735323234456,0.536735323234456,2.06163860477625e-09,2.06163860477625e-09,2.06163860477625e-09,1.93026755610287,0.118957745168892,1.46540725177402,0.344718423721985,0.00707116239514427,0.00707116239514427,0.00707116239514427
"Apioideae-Banasiak_et_al-2013","M1",-3721.03853577178,7454.15894288859,1.19910130545619,1.19910130545619,1.19910130545619,0.74688006982578,0.74688006982578,0.74688006982578,0.79962315866437,0.818252632193164,1.18146199466519,1.14496432843068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apioideae-Banasiak_et_al-2013","M2",-4270.1669364055,8560.54913699886,1.07667484722654,1.09350497630734,1.11108052723879,0.915762577530582,0.869456863590003,0.369308903204174,0.185428202889124,0.0683021500202608,0.462050051008036,0.239461464617633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apioideae-Banasiak_et_al-2013","M3",-4473.37624673278,8973.10970641943,0.283433715892436,0.283433715892436,0.283433715892436,0.168874481508026,0.168874481508026,0.168874481508026,0.129924043903701,0.0857184674331392,0.184167690697589,0.134930807636566,0.0172421665282763,0.0172421665282763,0.0172421665282763,1.51041949955402,1.51041949955402,1.51041949955402,0.544119777387514,0.544119777387514,0.544119777387514,0.486718337308309,0.34627454689753,0.776757224736869,0.360590512070011,0.0172421665282763,0.0172421665282763,0.0172421665282763
"Arabideae-Huang_et_al-2019","M1",-737.092100375007,1486.45257135704,4.27538720159744,4.27538720159744,4.27538720159744,0.850500169765202,0.850500169765202,0.850500169765202,93.6874314330914,86.1023344059294,99.9998769523766,99.9947608633403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabideae-Huang_et_al-2019","M2",-717.138816597542,1454.98960730512,2.17553156974768,4.11400153913195,3.80585549304802,2.23996530760268,1.74121871663512,0.125312174296716,1.09197067035431,0.209527170596197,2.29562919323974,1.83780015431922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabideae-Huang_et_al-2019","M3",-681.640053652799,1390.46964978926,6.05421738831902,6.05421738831902,6.05421738831902,0.740298726907353,0.740298726907353,0.740298726907353,83.8115811794992,0.835936553445879,95.2956593352596,1.01026248192125,0.242796222667087,0.242796222667087,0.242796222667087,0.322906693272241,0.322906693272241,0.322906693272241,3.7310811183894e-07,3.7310811183894e-07,3.7310811183894e-07,88.5651660112748,100,82.6661376458713,97.7456769968223,0.242796222667087,0.242796222667087,0.242796222667087
"Arecaceae-Onstein_et_al-2018","M1",-7612.98286419261,15238.0039971779,0.25972250085319,0.25972250085319,0.25972250085319,0.538539558830207,0.538539558830207,0.538539558830207,0.0242492143513213,0.225767870540204,0.30537041146461,0.134366182963549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
