"clade","model","loglik","AICc","turnover01A","turnover10A","turnover11A","eps01A","eps10A","eps11A","q01A_11A","q10A_11A","q11A_01A","q11A_10A","q01A_01B","q10A_10B","q11A_11B","turnover01B","turnover10B","turnover11B","eps01B","eps10B","eps11B","q01B_11B","q10B_11B","q11B_01B","q11B_10B","q01B_01A","q10B_10A","q11B_11A"
"Arecaceae-Onstein_et_al-2018","M2",-7551.60506847553,15123.3105477224,0.250830440089071,0.323373713551181,0.462338127568716,0.940369982631008,2.06149362247625e-09,0.101134147645049,0.0840042753766465,0.376804903282312,1.29649595191553,0.071950197185307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arecaceae-Onstein_et_al-2018","M3",-7375.54758782043,14777.2615376153,0.0463462865684674,0.0463462865684674,0.0463462865684674,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00390862865509407,0.0809028764525656,0.0368752127101082,0.0290776417451867,0.00856966215610862,0.00856966215610862,0.00856966215610862,0.181189612698704,0.181189612698704,0.181189612698704,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0343823294235144,0.251861219424154,0.636271759997861,0.138002844222494,0.00856966215610862,0.00856966215610862,0.00856966215610862
"Carex-MartinBravo_et_al-2019","M1",-4220.82335646462,8453.71590568048,0.569305235963734,0.569305235963734,0.569305235963734,0.51190867793103,0.51190867793103,0.51190867793103,0.244807229797878,0.169159591646041,0.586597248971945,0.107077604793502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex-MartinBravo_et_al-2019","M2",-4057.32156198191,8134.82494214565,0.285457093738024,0.17685476095328,0.762753973995224,1.48446039867161,2.06115362243856e-09,2.06179746213293e-09,0.151577285860495,0.147329176093807,0.918658083932287,0.0761499459213052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex-MartinBravo_et_al-2019","M3",-4035.92454486023,8098.15066387124,0.182282022080601,0.182282022080601,0.182282022080601,2.55479347527841e-09,2.55479347527841e-09,2.55479347527841e-09,0.0304100673760863,0.136147508874403,0.117144069280821,0.0751805464354974,0.00889372653523154,0.00889372653523154,0.00889372653523154,0.591452113441355,0.591452113441355,0.591452113441355,3.43988175471914e-09,3.43988175471914e-09,3.43988175471914e-09,4.28849492012598,2.71656489611418,8.92127415291382,0.759542685451482,0.00889372653523154,0.00889372653523154,0.00889372653523154
"Eucalypts-Thornhill_et_al-2019","M1",-2020.09150695446,4052.30582092647,1.64743652800368,1.64743652800368,1.64743652800368,0.966781284391962,0.966781284391962,0.966781284391962,0.141983751554874,0.137092008478284,0.35673579922738,1.04296808871003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucalypts-Thornhill_et_al-2019","M2",-1787.57979070966,3595.48311083109,1.87521345954628,0.125238090018159,7.83687154189918,0.938135766804235,3,0.84963669321275,0.137672418980195,0.298175327970655,0.307218148969652,2.59151373526125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucalypts-Thornhill_et_al-2019","M3",-1704.66329626919,3435.86425871268,1.34219205628475,1.34219205628475,1.34219205628475,0.160265771593978,0.160265771593978,0.160265771593978,0.158284559858256,0.195213492926394,0.805742410537598,1.12879695018237,0.0026765850693915,0.0026765850693915,0.0026765850693915,0.0693065748584415,0.0693065748584415,0.0693065748584415,5.73573267068041e-09,5.73573267068041e-09,5.73573267068041e-09,0.0327953482111525,0.0243636191835716,0.0250609044843705,0.115402466968128,0.0026765850693915,0.0026765850693915,0.0026765850693915
"Fagales-Xing_et_al-2014","M1",-1975.26529783976,3962.69244539051,0.94291637937089,0.94291637937089,0.94291637937089,0.885834474054184,0.885834474054184,0.885834474054184,0.0699240037059577,0.0898633280837843,0.372021033752759,0.0585238661002584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagales-Xing_et_al-2014","M2",-1959.02562695628,3938.47843837857,0.926990017779876,0.373577984212117,1.10936395875742,0.764198486242643,2.06115362243856e-09,2.93000885430629,0.20396685331544,0.316079435907768,0.729875263458161,0.0108801425262175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagales-Xing_et_al-2014","M3",-1928.70147081396,3884.11387912793,0.191931866608708,0.191931866608708,0.191931866608708,0.484982426192334,0.484982426192334,0.484982426192334,0.00287947819609001,0.104317196027404,0.0360368868270179,0.0450680723970058,0.0825670947604053,0.0825670947604053,0.0825670947604053,1.74987688212928,1.74987688212928,1.74987688212928,0.895859433693961,0.895859433693961,0.895859433693961,18.7001552364861,0.0737683500423553,100,0.0741527913592613,0.0825670947604053,0.0825670947604053,0.0825670947604053
"Mimosoids_Ringelberg_et_al_2023","M1",-8060.18591789346,16132.419808374,0.46966350885117,0.46966350885117,0.46966350885117,0.47156675204007,0.47156675204007,0.47156675204007,0.0653591844859211,0.105758412586717,0.104353455460465,0.310698925240534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosoids_Ringelberg_et_al_2023","M2",-8523.2581079781,17066.6421461222,0.137016185226254,0.357727082694198,1.21636542618522,0.0526486004374685,0.20046802669945,0.678957328949178,0.18339842744325,0.0385072713015422,0.49878670637312,0.0618494492094849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosoids_Ringelberg_et_al_2023","M3",-7570.0761646187,15166.3610448337,0.135596364849223,0.135596364849223,0.135596364849223,0.0648716261945145,0.0648716261945145,0.0648716261945145,0.309946182904086,0.353844900062083,1.10784728158141,0.275517716020239,0.00530645759378897,0.00530645759378897,0.00530645759378897,0.310603317184541,0.310603317184541,0.310603317184541,3.74570122992449e-08,3.74570122992449e-08,3.74570122992449e-08,0.200141947085374,0.100901461556331,0.15908887892045,0.45485569245742,0.00530645759378897,0.00530645759378897,0.00530645759378897
"NeoAstragalus-Folk_et_al-2024","M1",-977.667315090259,1967.56992429817,0.627943425402919,0.627943425402919,0.627943425402919,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.75306305574292,0.407936318168817,0.463362604667459,0.979349514104796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NeoAstragalus-Folk_et_al-2024","M2",-927.224361104984,1875.07195167172,2.06115362243856e-09,0.869805090470434,2.06115362243856e-09,8.09316725330348e-09,2.06115362243856e-09,4.3492367677815e-08,1.22027880592218,0.512876162700051,0.849279865169678,0.623111028708386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NeoAstragalus-Folk_et_al-2024","M3",-919.920936208556,1866.88187241711,0.907074081165129,0.907074081165129,0.907074081165129,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.545143018470233,0.465962219040753,2.06653407152016e-09,0.543435637890034,0.662630577506225,0.662630577506225,0.662630577506225,2.6874199847947e-09,2.6874199847947e-09,2.6874199847947e-09,2.08723976981569e-09,2.08723976981569e-09,2.08723976981569e-09,7.74274779685124,2.06115362243856e-09,14.0993773611788,0.894677433643693,0.662630577506225,0.662630577506225,0.662630577506225
"Onagraceae-Freyman_&_Hohna-2018","M1",-1093.60534649124,2199.53376990556,1.18737222240184,1.18737222240184,1.18737222240184,0.932422347168115,0.932422347168115,0.932422347168115,0.0871722039087444,0.104584344453353,0.164858164857709,0.130821306997268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onagraceae-Freyman_&_Hohna-2018","M2",-1059.37733857412,2139.61405214823,0.107969703949048,0.811243260761046,3.10219532585589,1.03824196480639,1.40720281941378,0.872644039838039,0.565909361638383,2.06378001588622e-09,0.717606794903718,0.149044164806841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onagraceae-Freyman_&_Hohna-2018","M3",-984.044414526404,1995.52756423067,6.06878296601346,6.06878296601346,6.06878296601346,0.987816014447209,0.987816014447209,0.987816014447209,53.6491492673843,100,34.9085979041305,53.8850261298751,0.0723701781757406,0.0723701781757406,0.0723701781757406,0.22116579488062,0.22116579488062,0.22116579488062,0.327650559843631,0.327650559843631,0.327650559843631,8.5473774481237e-09,0.00339712376795433,0.0112790284919751,4.14441316372424e-09,0.0723701781757406,0.0723701781757406,0.0723701781757406
"Restionaceae-Linder-2020","M1",-1183.10464145372,2378.4677444459,0.149738854465795,0.149738854465795,0.149738854465795,0.235297703810116,0.235297703810116,0.235297703810116,0.0136388248060506,0.583425114617973,0.0205869961314217,47.3449335547042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Restionaceae-Linder-2020","M2",-1172.1132739698,2364.91190619506,0.0183382442259886,0.106182572044219,0.0334074287915192,2.07356641363932e-09,2.06115362243856e-09,0.305621967222583,0.00991527836527242,0.00345192683330572,0.0625877331683312,0.243754683407321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Restionaceae-Linder-2020","M3",-1466.74644788476,2960.63754985757,0.121323493416284,0.121323493416284,0.121323493416284,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00514568054513709,2.06679641949581e-09,0.31169943511216,0.0236775804472683,0.0236775804472683,0.0236775804472683,0.0181339326248197,0.0181339326248197,0.0181339326248197,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.794733507014559,2.06321177498745e-09,0.0236775804472683,0.0236775804472683,0.0236775804472683
"Salvia-Kriebel_et_al-2020","M1",-1631.84640818474,3275.8689169984,0.466047486830389,0.466047486830389,0.466047486830389,0.311742342769402,0.311742342769402,0.311742342769402,0.0723401129636017,0.0998258248298837,0.209557541554635,0.0822891251831715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia-Kriebel_et_al-2020","M2",-1623.77916121389,3268.02343870684,0.324769712199103,0.351892919675487,0.484018423246284,0.161663061391225,0.394850682628611,2.06115362243856e-09,0.0432203143045461,0.0518865939694172,0.251296805557013,0.111839631931462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia-Kriebel_et_al-2020","M3",-1592.02249936655,3210.81946681821,0.155670687967251,0.155670687967251,0.155670687967251,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.03654734820025,0.0675068789352462,0.0240135102424544,0.026074816852466,0.026074816852466,0.026074816852466,0.394750725740086,0.394750725740086,0.394750725740086,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.105081905346997,0.169893996205085,0.31686612128802,0.0667152250073752,0.026074816852466,0.026074816852466,0.026074816852466
"Solanaceae-Sarkinen_et_al-2013","M1",-3139.35824307329,6290.8010782916,1.75347676144521,1.75347676144521,1.75347676144521,0.766624081722792,0.766624081722792,0.766624081722792,0.436160674807981,0.922648790770289,1.16476026144828,1.45871428108045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solanaceae-Sarkinen_et_al-2013","M2",-3570.46972972916,7161.1619063744,1.59491408066324,2.19555596630077,0.785779620143852,0.950236029711241,0.846105354436288,2.06115362243856e-09,0.0192135085094225,0.0411708266382842,0.439342376229352,0.189219421561708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solanaceae-Sarkinen_et_al-2013","M3",-3507.55836024954,7041.48588885607,0.347609871506656,0.347609871506656,0.347609871506656,0.270569043339983,0.270569043339983,0.270569043339983,0.0348363113880838,0.0512948668441509,0.0855681030126646,0.0804327688689168,0.0233157745498476,0.0233157745498476,0.0233157745498476,1.14073021507777,1.14073021507777,1.14073021507777,0.28085635591937,0.28085635591937,0.28085635591937,0.227640338681827,0.110714041813045,0.343284483392058,0.195996494641991,0.0233157745498476,0.0233157745498476,0.0233157745498476
