"lnLik","k","AIC","dAIC","AICwt"
-5410.74700309388,5,10829.4940061878,422.037403142031,2.04328149512421e-92
-5349.70802096163,8,10713.4160419233,305.95943887752,3.28350647598704e-67
-5240.0234880656,10,10498.0469761312,90.5903730854607,1.91927099577421e-20
-5227.20941241549,16,10484.418824831,76.9622217852466,1.74763910695135e-17
-5224.35055185624,14,10474.7011037125,67.2445006667494,2.25230957747241e-15
-5262.65483890918,10,10543.3096778184,135.853074772634,2.84751165840847e-30
-5319.69297776514,7,10651.3859555303,243.929352484543,9.68277841545774e-54
-5296.88723758762,10,10611.7744751752,204.317872129504,3.86833130636341e-45
-5199.39069328902,12,10420.781386578,13.3247835323018,0.00115118704139214
-5206.44606111789,20,10450.8921222358,43.435519190054,3.33182913174649e-10
-5188.72830152287,16,10407.4566030457,0,0.900711841833151
-5204.87644452079,14,10435.7528890416,28.296285995837,6.45840743380954e-07
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-5208.17625984118,10,10434.3525196824,26.8959166366294,1.3008037553187e-06
-5357.01630146332,7,10726.0326029266,318.575999880901,5.97979733081763e-70
-5351.7602667131,10,10721.5205334262,314.063930380473,5.70781525686826e-69
-5221.73428957645,12,10465.4685791529,58.0119761071619,2.27743147624279e-13
-5191.60860855127,20,10421.2172171025,13.7606140568096,0.000925777233052737
-5200.34712083182,16,10430.6942416636,23.2376386178967,8.10208435297999e-06
-5240.24902573696,14,10506.4980514739,99.0414484281864,2.80548923434843e-22
-5314.66762513708,9,10645.3352502742,237.878647228428,1.9947751327273e-52
-5289.15347162559,12,10600.3069432512,192.850340205448,1.19582211371393e-42
-5198.34591688018,14,10422.6918337604,15.2352307146302,0.000442891716433639
-5200.09078497236,24,10446.1815699447,38.7249668989934,3.51209418876433e-09
-5268.66040365358,18,10571.3208073072,163.86420426143,2.35464818148701e-36
-5188.95927456852,18,10411.918549137,4.46194609131635,0.0967579346479054
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-5207.59457180219,12,10437.1891436044,29.7325405586398,3.14953706556982e-07
