"ef","turn","q","rc"
1,1,1,"1R"
2,1,1,"1R"
1,2,1,"1R"
2,2,1,"1R"
1,1,1,"2R"
2,1,1,"2R"
3,1,1,"2R"
4,1,1,"2R"
1,2,1,"2R"
2,2,1,"2R"
3,2,1,"2R"
4,2,1,"2R"
1,3,1,"2R"
2,3,1,"2R"
3,3,1,"2R"
4,3,1,"2R"
1,4,1,"2R"
2,4,1,"2R"
3,4,1,"2R"
4,4,1,"2R"
1,1,2,"2R"
2,1,2,"2R"
3,1,2,"2R"
4,1,2,"2R"
1,2,2,"2R"
2,2,2,"2R"
3,2,2,"2R"
4,2,2,"2R"
1,3,2,"2R"
2,3,2,"2R"
3,3,2,"2R"
4,3,2,"2R"
1,4,2,"2R"
2,4,2,"2R"
3,4,2,"2R"
4,4,2,"2R"
