"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Linaria_munbyana",0,1,"open",1,0
"Linaria_nigricans",0.3,0.7,"open",1,1
"Linaria_nivea",0,1,"open",1,0
"Linaria_oblongifolia",0,1,"open",1,0
"Linaria_oblongifolia_subsp._haenseleri",0,1,"open",1,0
"Linaria_odora",0.07,0.93,"open",1,0
"Linaria_oligantha",0,1,"open",1,0
"Linaria_orbensis",0,1,"open",1,0
"Linaria_pedunculata",0,1,"open",1,0
"Linaria_pelisseriana",0.46,0.54,"open",1,1
"Linaria_peloponnesiaca",0.05,0.95,"open",1,0
"Linaria_pinifolia",0,1,"open",1,0
"Linaria_platycalyx",0,1,"open",1,0
"Linaria_polygalifolia_subsp._aguillonensis",1,0,"closed",0,1
"Linaria_polygalifolia",1,0,"closed",0,1
"Linaria_polygalifolia_subsp._lamarckii",0,1,"open",1,0
"Linaria_popovii",0,1,"open",1,0
"Linaria_propinqua",1,0,"closed",0,1
"Linaria_pseudoviscosa",0,1,"open",1,0
"Linaria_purpurea",0.73,0.27,"closed",1,1
"Linaria_reflexa",0.06,0.94,"open",1,0
"Linaria_repens",0.81,0.19,"closed",0,1
"Linaria_salzmannii",0,1,"open",1,0
"Linaria_saturejoides",0,1,"open",1,0
"Linaria_saxatilis",0.19,0.81,"open",1,0
"Linaria_schelkownikowii",0,1,"open",1,0
"Linaria_sessilis",0,1,"open",1,0
"Linaria_simplex",0.03,0.97,"open",1,0
"Linaria_striatella",0,1,"open",1,0
"Linaria_supina",0.61,0.39,"closed",1,1
"Linaria_tenuis",0,1,"open",1,0
"Linaria_thibetica",0.77,0.23,"closed",0,1
"Linaria_thymifolia",1,0,"closed",0,1
"Linaria_tingitana",1,0,"closed",0,1
"Linaria_transiliensis",0,1,"open",1,0
"Linaria_triphylla",0.03,0.97,"open",1,0
"Linaria_tristis",0,1,"open",1,0
"Linaria_tristis_subsp._lurida",0,1,"open",1,0
"Linaria_tristis_subsp._pectinata",0.38,0.62,"open",1,1
"Linaria_tristis_subsp._mesatlantica",0.17,0.83,"open",1,0
"Linaria_venosa",0.15,0.85,"open",1,0
"Linaria_ventricosa",0,1,"open",1,0
"Linaria_verticillata",0,1,"open",1,0
"Linaria_verticillata_subsp._cuartanensis",0,1,"open",1,0
"Linaria_virgata",0,1,"open",1,0
"Linaria_viscosa",0,1,"open",1,0
"Linaria_warionis",0,1,"open",1,0
"Lophospermum_breedlovei",1,0,"closed",0,1
"Lophospermum_erectum",0.1,0.9,"open",1,0
"Lophospermum_erubescens",0.94,0.06,"closed",0,1
"Mabrya_acerifolia",1,0,"closed",0,1
"Mabrya_coccinea",0,1,"open",1,0
"Mabrya_geniculata",1,0,"closed",0,1
"Mabrya_rosei",1,0,"closed",0,1
"Maurandya_barclaiana",0.5,0.5,"closed",1,1
"Maurandya_scandens",0.81,0.19,"closed",0,1
"Misopates_calycinum",0.03,0.97,"open",1,0
"Misopates_chrysothales",0,1,"open",1,0
"Misopates_microcarpum",0,1,"open",1,0
"Misopates_orontium",0.43,0.57,"open",1,1
"Nanorrhinum_cabulicum",0,1,"open",1,0
"Nanorrhinum_heterophyllum",0,1,"open",1,0
"Nanorrhinum_macilentum",0,1,"open",1,0
"Nanorrhinum_ramosissimum",0,1,"open",1,0
"Nanorrhinum_sagittatum",0,1,"open",1,0
"Nanorrhinum_scoparium",0,1,"open",1,0
"Pseudorontium_cyathiferum",0.03,0.97,"open",1,0
"Rhodochiton_atrosanguineum",1,0,"closed",0,1
"Schweinfurthia_imbricata",0,1,"open",1,0
"Schweinfurthia_latifolia",0,1,"open",1,0
"Schweinfurthia_papilionacea",0,1,"open",1,0
"Schweinfurthia_pedicellata",0,1,"open",1,0
"Schweinfurthia_spinosa",0,1,"open",1,0
