"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Ceanothus_megacarpus",0,1,"open",1,0
"Ceanothus_ochraceus",1,0,"closed",0,1
"Ceanothus_oliganthus",0,1,"open",1,0
"Ceanothus_ophiochilus",0,1,"open",1,0
"Ceanothus_palmeri",0,1,"open",1,0
"Ceanothus_papillosus",0.29,0.71,"open",1,1
"Ceanothus_parryi",0.33,0.67,"open",1,1
"Ceanothus_prostratus",0.85,0.15,"closed",0,1
"Ceanothus_pumilus",1,0,"closed",0,1
"Ceanothus_purpureus",0,1,"open",1,0
"Ceanothus_roderickii",0,1,"open",1,0
"Ceanothus_sanguineus",0.9,0.1,"closed",0,1
"Ceanothus_sonomensis",0,1,"open",1,0
"Ceanothus_spinosus",0,1,"open",1,0
"Ceanothus_thyrsiflorus",0.53,0.47,"closed",1,1
"Ceanothus_tomentosus",0,1,"open",1,0
"Ceanothus_velutinus",0.8,0.2,"closed",0,1
"Ceanothus_verrucosus",0,1,"open",1,0
"Parietaria_debilis",0.34,0.66,"open",1,1
"Parietaria_judaica",0.27,0.73,"open",1,1
"Parietaria_officinalis",0.74,0.26,"closed",1,1
"Parietaria_pensylvanica",0.35,0.65,"open",1,1
