issues_to_remove
TAXON_MATCH_HIGHERRANK
TAXON_MATCH_FUZZY
PRESUMED_SWAPPED_COORDINATE
COUNTRY_COORDINATE_MISMATCH
COUNTRY_INVALID
TYPE_STATUS_INVALID
CONTINENT_INVALID
COORDINATE_INVALID
PRESUMED_NEGATED_LONGITUDE
PRESUMED_NEGATED_LATITUDE
ZERO_COORDINATE
COORDINATE_OUT_OF_RANGE
COUNTRY_MISMATCH
