"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Colocasia esculenta (L.) Schott",9,155,59,6,4,25,1,6,1,54,8,2,0,0
"Colocasia esculenta subsp. esculenta",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Colocasia esculenta subsp. antiquorum (L.) Schott",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Croatiella integrifolia (Madison) E.G.Gonç.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptocoryne lingua Becc. ex Engl.",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Culcasia liberica N.E.Br.",0,23,0,0,0,0,0,0,3,2,0,0,0,0
"Cyrtosperma macrotum Becc. ex Engl.",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Dieffenbachia aglaonematifolia Engl.",0,12,0,0,0,0,0,0,0,8,0,1,0,0
"Dracontioides desciscens Engl.",1,19,0,0,0,0,0,0,1,0,1,0,0,0
"Dracontium polyphyllum L.",0,17,0,0,0,0,0,0,3,0,0,0,0,0
"Dracunculus vulgaris Schott",0,0,4,1,0,3,0,23,0,0,1,0,1,0
"Eminium spiculatum (Blume) Schott",0,0,0,0,0,0,0,4,0,0,2,0,0,0
"Filarum manserichense Nicolson",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Gearum brasiliense N.E.Br.",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Gymnostachys anceps R.Br.",0,6,70,0,0,0,0,0,0,5,0,0,0,0
"Hapaline benthamiana Schott",4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Helicodiceros muscivorus Engl.",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Heteropsis oblongifolia Kunth",0,141,0,0,0,0,0,0,2,0,0,0,0,0
"Holochlamys beccarii Engl.",0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Homalomena magna A.Hay",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Incarum pavonii (Schott) E.G.Gonç.",1,7,0,0,0,0,0,0,0,0,0,0,0,0
"Jasarum steyermarkii G.S.Bunting",0,2,0,0,0,0,0,0,0,1,0,0,0,0
"Lasia spinosa Thwaites",3,38,0,0,0,0,0,0,0,0,0,0,0,0
"Lasimorpha senegalensis Schott",0,43,0,0,0,0,0,0,4,5,0,0,0,0
"Lemna minor L.",1,0,81,22,0,16,1,31,0,1,14,0,23,3
"Lysichiton americanus Hultén & H.St.John",0,0,4,1,0,52,0,0,0,0,1,0,2,1
"Monstera adansonii Schott",31,276,0,0,5,0,0,0,12,15,15,1,0,0
"Monstera adansonii subsp. laniata (Schott) Mayo & I.M.Andrade",20,108,0,0,6,0,0,0,5,2,3,0,0,0
"Monstera adansonii subsp. klotzschiana (Schott) Mayo & I.M.Andrade",1,110,0,0,0,0,0,0,2,3,6,0,0,0
"Monstera adansonii subsp. blanchetii (Schott) Mayo & I.M.Andrade",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Monstera adansonii subsp. adansonii",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Montrichardia arborescens Schott",2,130,0,0,1,0,0,0,14,19,1,1,0,0
"Nephthytis afzelii Schott",0,39,0,0,0,0,0,0,2,4,0,0,0,0
"Ooia grabowskii (Engl.) S.Y.Wong & P.C.Boyce",0,14,0,0,0,0,1,0,0,0,0,0,0,0
"Orontium aquaticum L.",0,1,45,1,0,73,0,0,0,1,0,0,0,0
"Pedicellarum paiei M.Hotta",0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Peltandra virginica Schott",1,1,121,12,0,44,0,0,0,0,0,6,0,0
"Philodendron deltoideum Poepp. & Endl.",0,25,0,0,0,0,1,0,0,0,0,0,0,0
"Philonotion americanum (A.M.E.Jonker & Jonker) S.Y.Wong & P.C.Boyce",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Pinellia pedatisecta Schott",0,11,37,0,0,2,0,0,0,0,0,0,0,0
"Pistia stratiotes var. stratiotes",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Podolasia stipitata N.E.Br.",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Pothoidium lobbianum Schott",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Pothos scandens L.",16,101,1,0,0,1,3,0,1,0,0,0,0,0
"Pseudohydrosme gabunensis Engl.",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Remusatia vivipara (Roxb.) Schott",6,22,0,0,0,0,1,0,0,14,3,0,0,0
"Rhaphidophora bogneri P.C.Boyce & Haigh",0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Rhodospatha oblongata Poepp. & Endl.",0,102,0,0,0,0,0,0,1,5,0,0,0,0
"Scaphispatha gracilis Brongn. ex Schott",0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Schismatoglottis trifasciata Engl.",0,5,0,0,0,0,1,0,1,0,0,0,0,0
"Scindapsus hederaceus Miq.",1,12,0,0,0,0,0,0,0,0,0,0,0,0
"Spathicarpa hastifolia Hook.",6,49,0,0,0,0,0,0,0,19,1,7,0,0
"Spirodela polyrhiza (L.) Schleid.",11,6,132,13,4,40,0,14,1,0,5,0,15,0
"Stenospermation ulei K.Krause",0,15,0,0,0,0,0,0,0,1,0,0,0,0
"Steudnera colocasiifolia K.Koch",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Stylochaeton bogneri Mayo",0,4,0,0,0,0,0,0,1,0,0,0,0,0
"Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton",0,0,155,8,0,1,0,0,0,0,0,0,2,0
"Synandrospadix vermitoxicus Engl.",4,2,0,0,0,0,0,0,0,21,0,0,0,0
"Syngonium auritum Schott",1,3,0,1,0,0,0,0,0,0,0,0,0,0
"Typhonium blumei Nicolson & Sivad.",0,4,1,2,1,0,0,0,0,1,0,0,0,0
"Typhonodorum lindleyanum Schott",2,12,0,0,0,0,0,0,0,0,0,0,0,0
"Ulearum sagittatum Engl.",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Urospatha sagittifolia Schott",11,182,0,0,0,0,0,0,0,63,2,0,0,0
"Urospatha sagittifolia var. sagittifolia",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Wolffia columbiana Karst.",3,2,111,82,7,17,0,6,0,1,4,1,6,0
"Wolffiella oblonga Hegelm.",8,7,0,1,1,3,1,2,0,3,4,9,0,0
"Zantedeschia albomaculata Baill.",0,1,2,0,0,0,4,0,0,0,0,0,0,0
"Zantedeschia albomaculata subsp. albomaculata",0,2,0,0,0,0,13,0,0,2,0,0,0,0
"Zantedeschia albomaculata subsp. macrocarpa (Engl.) Letty",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Zomicarpa steigeriana Ferd.Maxim. ex Schott",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla aurea W.R.B.Oliv.",0,0,4,19,0,0,14,0,0,0,0,0,0,0
"Aciphylla colensoi Hook.f.",0,0,18,0,0,0,11,0,0,0,0,0,0,0
"Aciphylla congesta Cheeseman",0,0,5,0,0,0,1,0,0,0,0,0,0,0
"Aciphylla crenulata J.B.Armstr.",0,0,9,2,0,0,15,0,0,0,0,0,0,0
"Aciphylla dissecta (Kirk) W.R.B.Oliv.",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla dobsonii Hook.f.",0,0,0,2,0,0,4,0,0,0,0,0,0,0
"Aciphylla hectori Buchanan",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aciphylla horrida W.R.B.Oliv.",0,0,6,3,0,0,10,0,0,0,0,0,0,0
"Aciphylla kirkii Buchanan",0,0,0,1,0,0,2,0,0,0,0,0,0,0
"Aciphylla lyallii Hook.f.",0,0,4,0,0,0,1,0,0,0,0,0,0,0
"Aciphylla monroi Hook.f.",0,0,4,1,0,0,10,0,0,0,0,0,0,0
"Aciphylla montana Armstr.",0,0,0,2,0,0,10,0,0,0,0,0,0,0
"Aciphylla montana var. montana",0,0,0,1,0,0,6,0,0,0,0,0,0,0
"Aciphylla montana var. gracilis (W.R.B.Oliv.) J.W.Dawson",0,0,0,5,0,0,2,0,0,0,0,0,0,0
"Aciphylla pinnatifida Petrie",0,0,5,3,0,0,0,0,0,0,0,0,0,0
"Aciphylla scott-thomsonii Cockayne & Allan",0,0,0,10,0,0,5,0,0,0,0,0,0,0
"Aciphylla similis Cheeseman",0,0,1,0,0,0,4,0,0,0,0,0,0,0
"Aciphylla simplex Petrie",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Aciphylla simplicifolia F.Muell. ex Benth.",0,0,1,0,0,0,5,0,0,0,0,0,0,0
"Aciphylla squarrosa Forst.",0,0,17,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla subflabellata W.R.B.Oliv.",0,0,0,9,0,0,1,0,0,0,0,0,0,0
"Aciphylla traillii var. cartilaginea (Petrie) Cheesem.",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla traillii Kirk",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla traversii F.Muell. ex Buchanan",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Acronema astrantiifolium H.Wolff",0,1,0,0,0,8,4,0,0,0,0,0,0,0
"Aegopodium alpestre Ledeb.",0,0,83,19,0,55,15,0,0,0,5,8,54,4
"Aegopodium kashmiricum (R.R.Stewart ex Dunn) Pimenov",0,0,1,0,0,1,10,0,0,0,0,0,0,0
"Aegopodium podagraria L.",0,0,25,0,0,7,0,2,0,0,0,0,7,8
"Aethusa cynapium subsp. cynapium",0,0,49,0,0,0,0,0,0,0,0,0,4,1
"Aethusa cynapium L.",0,0,91,0,0,1,0,0,0,0,0,0,3,2
"Aethusa cynapium var. domestica Wallr.",0,0,44,0,0,2,0,0,0,0,0,0,2,0
"Aethusa cynapium var. cynapium",0,0,54,0,0,0,0,0,0,0,0,0,0,0
"Aethusa cynapium subsp. agrestis (Wallr.) Dostál",0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Afroligusticum elliotii (Engl.) C.Norman",0,5,0,0,0,0,1,0,0,0,0,0,0,0
"Afroligusticum petitianum (A.Rich.) P.J.D.Winter",0,3,0,0,0,0,8,0,0,0,0,0,0,0
"Ainsworthia trachycarpa Boiss.",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Ammoides pusilla (Brot.) Breistr.",0,0,2,0,0,0,0,97,0,0,0,0,0,0
"Angelica acutiloba var. iwatensis (Kitag.) Hikino",0,0,29,0,0,11,0,0,0,0,0,0,0,0
"Angelica acutiloba var. acutiloba",0,0,22,0,0,3,0,0,0,0,0,0,0,0
"Angelica acutiloba (Siebold & Zucc.) Kitag.",0,0,13,0,0,1,0,0,0,0,0,0,0,0
"Angelica acutiloba var. lineariloba (Koidz.) Hikino",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Angelica ampla A.Nelson",0,0,0,1,0,22,0,0,0,0,5,0,0,0
"Angelica anomala var. glabra (Koidz.) H.Ohba",0,0,28,0,0,4,0,0,0,0,0,0,0,0
"Angelica anomala subsp. sachalinensis (Maxim.) H.Ohba",0,0,15,0,0,8,0,0,0,0,0,0,2,0
"Angelica anomala Avé-Lall.",0,0,35,0,0,8,0,0,0,0,0,1,0,0
"Angelica apaensis R.H.Shan & C.C.Yuan",0,2,0,0,0,7,4,0,0,0,0,0,0,0
