"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Schizopetalon arcuatum Al-Shehbaz",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Schizopetalon bipinnatifidum Phil.",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Schizopetalon biseriatum Phil. ex Gilg & Muschl.",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Schizopetalon brachycarpum Al-Shehbaz",0,0,2,0,0,0,1,0,0,0,0,0,0,0
"Schizopetalon dentatum Gilg & Muschl.",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Schizopetalon maritimum Barnéoud",0,0,1,0,0,0,0,2,0,0,0,0,0,0
"Schizopetalon rupestre Reiche",0,0,0,0,0,0,11,5,0,0,0,0,0,0
"Schizopetalon tenuifolium Phil.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Schizopetalon walkeri Sims",0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Schouwia purpurea subsp. schimperi (Jaub. & Spach) Muschl.",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Schouwia purpurea Schweinf.",0,0,0,0,0,0,0,0,0,3,6,0,0,0
"Selenia aurea Nutt.",0,0,6,15,0,0,0,0,0,0,0,0,0,0
"Selenia dissecta Torr. & A.Gray",0,0,0,0,0,1,0,0,0,0,8,0,0,0
"Selenia jonesii Cory",0,0,0,2,0,0,0,0,0,0,1,0,0,0
"Shangrilaia nana Al-Shehbaz, J.P.Yue & H.Sun",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sibara angelorum Greene",0,0,0,0,0,0,0,5,0,0,29,0,0,0
"Sibara deserti (M.E.Jones) Rollins",0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Sibara laxa Greene",0,0,0,0,0,0,0,0,0,0,27,0,0,0
"Sibara macrostachya (Phil.) Al-Shehbaz",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Sinapis alba subsp. mairei (H.Lindb.) Maire",0,0,5,0,0,0,0,53,0,0,0,0,0,0
"Sinapis alba subsp. alba",0,0,30,7,0,0,0,36,0,0,9,0,5,0
"Sinapis alba subsp. dissecta (Lag.) Simonk.",0,0,5,0,0,1,0,3,0,0,0,0,2,0
"Sinapis arvensis subsp. arvensis",0,0,136,58,2,42,3,24,0,0,11,0,24,2
"Sisymbrella aspera (L.) Spach",0,0,7,0,0,0,0,40,0,0,0,0,0,0
"Sisymbrella aspera subsp. aspera",0,0,12,0,0,2,0,65,0,0,0,0,0,0
"Sisymbrella aspera subsp. praeterita Heywood",0,0,2,0,0,0,0,2,0,0,0,0,0,0
"Sisymbriopsis mollipila (Maxim.) Botsch.",0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Sisymbriopsis yechengnica (C.H.An) Al-Shehbaz, C.H.An & G.Yang",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sisymbrium altissimum L.",0,0,417,223,2,180,6,61,0,1,212,0,104,14
"Sisymbrium austriacum Jacq.",0,0,16,0,0,9,0,11,0,0,0,0,3,0
"Sisymbrium austriacum subsp. contortum (Cav.) Rouy & Foucaud",0,0,6,0,0,0,0,32,0,0,0,0,0,0
"Sisymbrium austriacum subsp. hispanicum (Jacq.) P.W.Ball & Heywood",0,0,7,0,0,0,0,39,0,0,0,0,0,0
"Sisymbrium austriacum subsp. chrysanthum (Jord.) Rouy & Foucaud",0,0,38,0,0,0,0,10,0,0,0,0,0,0
"Sisymbrium austriacum subsp. austriacum",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Sisymbrium austriacum subsp. villarsii (Jord.) Nyman",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sisymbrium austriacum var. macropetalum P.M.Uribe-Echebarría",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sisymbrium brassiciforme C.A.Mey.",0,0,4,0,1,0,50,0,0,0,3,0,0,0
"Sisymbrium burchellii var. burchellii",0,0,0,0,0,0,3,1,0,0,13,0,0,0
"Sisymbrium burchellii DC.",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sisymbrium burchellii var. dinteri (O.E.Schulz) Marais",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sisymbrium capense Thunb.",0,0,0,0,0,0,8,3,0,0,10,0,0,0
"Sisymbrium erysimoides Desf.",0,0,9,48,0,0,0,68,0,4,148,0,0,0
"Sisymbrium heteromallum C.A.Mey.",0,0,24,12,0,10,44,0,0,0,12,0,0,0
"Sisymbrium irio L.",26,6,104,130,28,27,28,294,0,32,381,0,6,0
"Sisymbrium linifolium Nutt.",0,0,0,3,0,43,0,0,0,0,121,0,0,0
"Sisymbrium loeselii L.",0,0,202,128,1,62,17,3,0,0,59,0,47,5
"Sisymbrium luteum (Maxim.) O.E.Schulz",0,0,35,0,0,1,0,0,0,0,0,0,0,0
"Sisymbrium officinale (L.) Scop.",0,0,34,1,0,5,0,80,0,0,0,0,0,0
"Sisymbrium orientale L.",1,8,204,124,9,27,18,313,0,19,172,0,26,5
"Sisymbrium polyceratium L.",0,0,1,0,0,0,0,28,0,0,0,0,0,0
"Sisymbrium polymorphum (Murray) Roth",0,0,46,59,0,2,8,0,0,0,5,0,0,0
"Sisymbrium strictissimum L.",0,0,57,11,0,10,0,0,0,0,0,0,6,0
"Sisymbrium volgense M.Bieb. ex E.Fourn.",0,0,65,11,0,3,0,0,0,0,0,0,24,0
"Smelowskia alba (Pall.) Regel",0,0,0,6,0,3,3,0,0,0,1,0,4,0
"Smelowskia altaica (Pobed.) Botsch.",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Smelowskia americana Rydb.",0,0,0,3,0,74,0,0,0,0,7,0,0,0
"Smelowskia annua Rupr.",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Smelowskia bartholomewii (Al-Shehbaz) Al-Shehbaz & Warwick",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Smelowskia bifurcata (Ledeb.) Botsch.",0,0,0,0,0,3,6,0,0,0,3,0,0,1
"Smelowskia borealis (Greene) W.H.Drury & Rollins",0,0,0,0,0,0,0,0,0,0,0,0,0,38
"Smelowskia calycina (Stephan ex Willd.) C.A.Mey.",0,0,0,2,0,47,0,0,0,0,5,0,0,0
"Smelowskia flavissima Kar. & Kir.",0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Smelowskia inopinata Komarov",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Smelowskia johnsonii G.A.Mulligan",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Smelowskia media (Drury & Rollins) Velichkin",0,0,0,0,0,0,0,0,0,0,0,0,2,21
"Smelowskia ovalis M.E.Jones",0,0,1,0,0,19,0,0,0,0,0,0,0,0
"Smelowskia parryoides (Cham.) Polunin",0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Smelowskia porsildii (W.H.Drury & Rollins) Jurtzev",0,0,0,0,0,0,0,0,0,0,0,0,6,41
"Smelowskia sisymbrioides Paulsen",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Smelowskia sophiifolia (Cham. & Schltdl.) Al-Shehbaz & Warwick",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Smelowskia tibetica Lipsky",0,0,0,0,0,3,59,0,0,0,6,0,0,0
"Sobolewskia caucasica Busch",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Solms-laubachia baiogoinensis (K.C.Kuan & C.H.An) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Solms-laubachia eurycarpa (Maxim.) Botsch.",0,0,0,0,0,1,3,0,0,0,0,0,0,0
"Solms-laubachia flabellata (Regel) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,1,0,0,13,0,0,0,3,0,0,0
"Solms-laubachia himalayensis (Cambess.) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,0,0,0,46,0,0,0,2,0,0,0
"Solms-laubachia jafrii (Al-Shehbaz) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,0,0,1,8,0,0,0,0,0,0,0
"Solms-laubachia lanata Botsch.",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Solms-laubachia linearifolia O.E.Schulz",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Solms-laubachia linearis (N.Busch) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,0,0,1,4,0,0,0,1,0,0,0
"Solms-laubachia prolifera (Maxim.) J.P.Yue",0,0,0,0,0,1,4,0,0,0,1,0,0,0
"Solms-laubachia retropilosa Botsch.",0,0,0,0,0,4,2,0,0,0,0,0,0,0
"Solms-laubachia stewartii (T.Anderson) J.P.Yue, Al-Shehbaz & H.Sun",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Solms-laubachia xerophyta (W.W.Sm.) Comber",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Sphaerocardamum divaricatum (Rollins) Rollins",0,0,0,0,7,0,0,0,0,0,9,0,0,0
"Sphaerocardamum nesliiforme S.Schauer",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sphaerocardamum stellatum (S.Watson) Rollins",0,0,0,0,5,0,0,0,0,0,6,0,0,0
"Stanleya elata M.E.Jones",0,0,0,0,0,0,0,0,0,0,21,0,0,0
"Stanleya pinnata Britton",0,0,0,35,0,18,0,17,0,0,192,0,0,0
"Stanleya pinnata var. pinnata",0,0,0,0,0,3,0,11,0,0,72,0,0,0
"Stanleya pinnata var. integrifolia (E.James) Rollins",0,0,0,14,0,6,0,0,0,0,35,0,0,0
"Stanleya tomentosa Parry",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Stenopetalum decipiens E.A.Shaw",0,0,0,0,0,0,0,0,0,1,76,0,0,0
"Sterigmostemum acanthocarpum (Fisch. & C.A.Mey.) Kuntze",0,0,0,3,0,0,0,0,0,0,1,0,0,0
"Sterigmostemum caspicum (Lam. ex Pall.) Kuntze",0,0,0,7,0,0,0,0,0,0,2,0,0,0
"Sterigmostemum incanum M.Bieb.",0,0,2,0,0,1,0,0,0,0,1,0,0,0
"Sterigmostemum longistylum (Boiss.) Kuntze",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sterigmostemum ramosissimum (O.E.Schulz) Rech.f.",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Sterigmostemum sulphureum (Banks & Sol.) Bornm.",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Sterigmostemum sulphureum subsp. sulphureum",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Stevenia alyssoides Adams & Fisch.",0,0,0,0,0,4,5,0,0,0,0,0,1,0
"Stevenia cheiranthoides DC.",0,0,0,20,0,1,0,0,0,0,0,0,9,0
"Stevenia sergievskajae (Krasnob.) Kamelin & Gubanov",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Streptanthella longirostris (S.Watson) Rydb.",0,0,0,0,0,2,0,0,0,0,153,0,0,0
"Streptanthus barbatus S.Watson",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Streptanthus barbiger Greene",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus batrachopus J.L.Morrison",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus bernardinus Parish",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus brachiatus F.W.Hoffm.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus breweri A.Gray",0,0,0,0,0,1,0,5,0,0,0,0,0,0
"Streptanthus campestris S.Watson",0,0,0,0,0,5,0,7,0,0,4,0,0,0
"Streptanthus carinatus subsp. arizonicus (S.Watson) Kruckeb., Rodman & Worth.",0,0,0,0,1,3,0,0,0,0,31,0,0,0
"Streptanthus carinatus subsp. carinatus",0,0,0,0,2,1,0,0,0,0,12,0,0,0
"Streptanthus carinatus C.Wright",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Streptanthus cordatus subsp. cordatus",0,0,0,0,0,22,0,0,0,0,47,0,0,0
"Streptanthus cordatus Nutt.",0,0,0,0,0,11,0,0,0,0,86,0,0,0
"Streptanthus cordatus subsp. piutensis (J.Howell) D.W.Taylor",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus diversifolius S.Watson",0,0,0,0,0,7,0,5,0,0,0,0,0,0
"Streptanthus farnsworthianus J.T.Howell",0,0,0,0,0,1,0,2,0,0,0,0,0,0
"Streptanthus fenestratus (Greene) J.T.Howell",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Streptanthus hesperidis Jeps.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus hispidus A.Gray",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus howellii S.Watson",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Streptanthus hyacinthoides Hook.",0,0,3,16,0,6,0,0,0,0,0,0,0,0
"Streptanthus longisiliquus G.Clifton & R.E.Buck",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Streptanthus maculatus Nutt.",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Streptanthus morrisonii F.W.Hoffm.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Streptanthus morrisonii subsp. krukebergii",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Streptanthus petiolaris A.Gray",0,0,0,10,0,0,0,0,0,0,2,0,0,0
"Streptanthus platycarpus A.Gray",0,0,0,0,0,3,0,0,0,0,5,0,0,0
"Streptanthus polygaloides A.Gray",0,0,0,1,0,9,0,4,0,0,0,0,0,0
"Streptanthus tortuosus subsp. truei Al-Shehbaz",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Streptanthus tortuosus Kellogg",0,0,0,1,0,48,0,10,0,0,3,0,0,0
"Streptanthus tortuosus subsp. tortuosus",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Streptoloma desertorum Bunge",0,0,0,0,0,0,2,0,0,0,2,0,0,0
"Strigosella africana (L.) Botsch.",0,0,0,1,0,2,0,0,0,0,80,0,0,0
"Succowia balearica (L.) Medik.",0,0,0,0,0,1,0,31,0,0,0,0,0,0
"Synstemon petrovii Botsch.",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tchihatchewia isatidea Boiss.",0,0,3,0,0,1,0,0,0,0,0,0,0,0
"Teesdalia nudicaulis (L.) W.T.Aiton",0,0,72,0,0,3,0,0,0,0,0,0,0,0
"Tetracme contorta Boiss.",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Tetracme quadricornis Bunge",0,0,0,1,0,0,15,0,0,0,12,0,0,0
"Tetracme secunda Boiss.",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Thelypodiopsis ambigua var. ambigua",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Thelypodiopsis ambigua (Wats.) Al-Shehbaz",0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Thelypodiopsis ambigua var. erecta Rollins",0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Thelypodiopsis elegans Rydb.",0,0,0,0,0,5,0,0,0,0,35,0,0,0
"Thelypodium crispum Greene ex Payson",0,0,0,0,0,2,0,0,0,0,18,0,0,0
"Thelypodium flexuosum B.L.Rob.",0,0,0,0,0,3,0,0,0,0,74,0,0,0
"Thelypodium integrifolium subsp. affine (Greene) Al-Shehbaz",0,0,0,0,0,0,0,0,0,0,17,0,0,0
"Thelypodium integrifolium subsp. complanatum Al-Shehbaz",0,0,0,0,0,0,0,0,0,0,38,0,0,0
"Thelypodium integrifolium subsp. integrifolium",0,0,0,0,0,4,0,0,0,0,25,0,0,0
"Thelypodium integrifolium Endl.",0,0,0,10,0,7,0,0,0,0,23,0,0,0
"Thelypodium integrifolium subsp. longicarpum Al-Shehbaz",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Thelypodium integrifolium subsp. gracilipes (B.L.Rob.) Al-Shehbaz",0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Thelypodium laciniatum Endl.",0,0,0,13,0,18,0,0,0,0,64,0,0,0
"Thelypodium sagittatum Endl.",0,0,0,0,0,2,0,0,0,0,5,0,0,0
"Thelypodium sagittatum var. sagittatum",0,0,0,0,0,3,0,0,0,0,12,0,0,0
"Thelypodium sagittatum subsp. sagittatum",0,0,0,0,0,5,0,0,0,0,31,0,0,0
"Thelypodium sagittatum var. ovalifolium (Rydb.) S.L.Welsh & Reveal",0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Thelypodium sagittatum subsp. ovalifolium (Rydb.) Al-Shehbaz",0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Thelypodium wrightii A.Gray",0,0,0,10,19,34,0,1,0,0,43,0,0,0
"Thelypodium wrightii subsp. oklahomense Al-Shehbaz",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Thlaspi alliaceum L.",0,0,25,2,0,8,0,13,0,0,0,0,0,0
"Thysanocarpus conchuliferus Greene",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Thysanocarpus erectus S.Watson",0,0,0,0,0,0,0,3,0,0,19,0,0,0
"Thysanocarpus laciniatus Nutt.",0,0,0,0,0,0,0,40,0,0,24,0,0,0
"Thysanocarpus laciniatus var. laciniatus",0,0,0,0,0,0,0,10,0,0,9,0,0,0
"Thysanocarpus laciniatus var. rigidus Munz",0,0,0,0,0,0,0,3,0,0,1,0,0,0
"Thysanocarpus laciniatus var. hitchcockii Munz",0,0,0,0,0,1,0,0,0,0,2,0,0,0
"Thysanocarpus radians Benth.",0,0,0,12,0,1,0,8,0,0,0,0,0,0
"Trachystoma aphanoneurum (Maire & Weiller) Maire & Weiller",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Trachystoma ballii O.E.Schulz",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trachystoma labasii Maire",0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Turritis glabra L.",0,0,588,95,3,275,19,109,0,0,60,0,210,57
"Turritis laxa Hayek",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Vella anremerica (Lit. & Maire) C.Gómez-Campo",0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Vella aspera Pers.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Vella bourgaeana (Coss.) S.I.Warwick & Al-Shehbaz",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Vella castrilensis Vivero, Prados, Hern.-Berm., M.B.Crespo, S.Ríos & Lledó",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Vella mairei Humbert",0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Vella mairei var. macrantha Fern.Casas",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Vella spinosa Boiss.",0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Warea amplexifolia Nutt.",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Warea cuneifolia Nutt.",0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Warea sessilifolia Nash",0,0,1,0,0,4,0,0,0,0,0,0,0,0
"Weberbauera herzogii (O.E.Schulz) Al-Shehbaz",0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Weberbauera peruviana (DC.) Al-Shehbaz",0,4,0,0,0,0,10,0,0,0,3,0,0,0
"Werdermannia anethifolia I.M.Johnst.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Xerodraba lycopodioides Skottsb.",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Xerodraba patagonica Skottsb.",0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Xerodraba pectinata (Speg.) Skottsb.",0,0,1,5,0,0,0,0,0,0,0,0,0,0
"Xerodraba pycnophylloides Skottsb.",0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Yinshania henryi (Oliv.) Y.H.Zhang",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Yinshania zayuensis Y.H.Zhang",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Zerdana anchonioides Boiss.",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Zerdana anchonioides subsp. stenocarpa Jacquemoud",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Zilla macroptera Coss.",0,0,0,0,0,0,0,1,0,0,4,0,0,0
"Zuvanda crenulata (DC.) R.K.Askerova",0,0,0,3,0,0,0,4,0,0,1,0,0,0
"Zuvanda exacoides (DC.) R.K.Askerova",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Nepenthes ampullaria Jack",0,75,0,0,0,0,3,0,5,0,0,0,0,0
"Nepenthes bongso Korth.",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes gymnamphora Reinw. ex Nees",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes izumiae Troy Davis, C.Clarke & Tamin",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes jacquelineae C.Clarke, Troy Davis & Tamin",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes khasiana Hook.f.",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes maxima Reinw. ex Nees",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes mira M.Jebb & Cheek",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes philippinensis Macfarlane",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes sanguinea Lindl.",0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes singalana Becc.",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes talangensis J.Nerz & A.Wistuba",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes tentaculata Hook.f.",0,16,0,0,0,0,3,0,0,0,0,0,0,0
"Nepenthes tobaica Danser",0,8,0,0,0,0,0,0,1,0,0,0,0,0
"Nepenthes truncata Macfarlane",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Nepenthes ventricosa Blanco",0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Ascarina coursii (Humbert & Capuron) J.-F.Leroy & Jérémie",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Ascarina lucida Hook.f.",0,0,37,0,0,0,1,0,0,0,0,0,0,0
"Ascarina lucida var. lanceolata (Hook.fil.) Allan",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Ascarina polystachya J.R.Forst. & G.Forst.",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chloranthus angustifolius Oliv.",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Chloranthus fortunei Solms",0,14,22,0,0,0,0,0,0,0,2,0,0,0
"Chloranthus henryi Hemsl.",0,64,47,0,0,7,0,0,0,0,1,0,0,0
"Chloranthus holostegius (Hand.-Mazz.) S.J.Pei & Shan",0,12,0,0,0,4,0,0,0,0,0,0,0,0
"Chloranthus japonicus Siebold",0,0,175,0,0,13,0,0,0,0,0,14,0,0
"Chloranthus nervosus Collett & Hemsl.",5,24,0,0,0,4,0,0,0,0,0,0,0,0
"Chloranthus spicatus Makino",0,12,1,0,0,2,0,0,0,0,0,0,0,0
"Hedyosmum angustifolium Solms",0,47,0,0,0,0,4,0,0,0,0,0,0,0
"Hedyosmum arborescens Sw.",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum bonplandianum Kunth",1,84,0,0,0,0,2,0,1,0,0,0,0,0
"Hedyosmum brasiliense Miq.",3,73,0,0,0,0,0,0,0,62,6,0,0,0
"Hedyosmum correanum D'Arcy & Liesner",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum costaricense C.E.Wood ex Burger",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum cuatrecazanum Occhioni",1,62,0,0,0,0,6,0,0,0,0,0,0,0
"Hedyosmum cumbalense H.Karst.",0,42,0,0,0,0,9,0,0,0,0,0,0,0
"Hedyosmum dombeyanum Solms",0,26,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum goudotianum Solms",0,74,0,0,0,0,3,0,0,0,0,0,0,0
"Hedyosmum goudotianum var. mombachanum Todzia",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum mexicanum Cordem. ex Baill.",9,48,0,0,34,0,0,0,0,0,0,0,0,0
"Hedyosmum nutans Sw.",1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Hedyosmum orientale Merr. & Chun",1,13,0,0,0,0,1,0,0,0,0,0,0,0
"Hedyosmum parvifolium Cordem. ex Baill.",0,9,0,0,0,0,4,0,0,0,0,0,0,0
"Hedyosmum racemosum (Ruiz & Pav.) G.Don",10,162,0,0,0,0,5,0,0,4,1,0,0,0
"Hedyosmum scaberrimum Standl.",1,51,0,0,0,0,0,0,2,0,0,0,0,0
"Hedyosmum scabrum (Ruiz & Pav.) Solms",1,60,0,0,0,0,7,0,0,0,0,0,0,0
"Hedyosmum spectabile Todzia",1,10,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum sprucei Solms",2,39,0,0,0,0,1,0,0,0,0,1,0,0
"Hedyosmum strigosum Todzia",0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum translucidum Cuatrec.",1,56,0,0,0,0,2,0,0,0,0,0,0,0
"Aphloia theiformis Benn.",6,78,0,0,0,0,1,0,0,0,3,0,0,0
"Aphloia theiformis subsp. madagascariensis (Clos) H.Perrier",5,29,0,0,0,0,1,0,1,0,0,0,0,0
"Aphloia theiformis subsp. deltoides (Clos) H.Perrier",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis var. minima (Baker) H.Perrier",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Apacheria chiricahuensis C.T.Mason",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Crossosoma bigelovii S.Watson",1,0,0,0,7,6,0,4,0,0,69,0,0,0
"Crossosoma californicum Nutt.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Glossopetalon spinescens var. aridum M.E.Jones",0,0,0,0,0,10,0,2,0,0,56,0,0,0
"Glossopetalon spinescens var. microphyllum N.H.Holmgren",0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Glossopetalon spinescens A.Gray",0,0,0,2,0,14,0,0,0,0,61,0,0,0
"Glossopetalon spinescens var. planitierum (Ensign) Yatsk.",0,0,0,20,0,0,0,0,0,0,3,0,0,0
"Glossopetalon spinescens var. meionandrum Trel.",0,0,0,0,0,1,0,0,0,0,32,0,0,0
"Glossopetalon spinescens var. mexicanum (Ensign) H.St.John",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Glossopetalon spinescens var. spinescens",0,0,0,0,12,0,0,0,0,0,26,0,0,0
"Velascoa recondita Calderón & Rzed.",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Geissoloma marginata (L.) A.Juss.",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Guamatela tuerckheimii Donn.Sm.",0,7,0,0,3,0,0,0,0,0,0,0,0,0
"Stachyurus chinensis Franch.",0,80,57,0,0,12,2,0,0,0,0,0,0,0
"Stachyurus chinensis var. cuspidatus H.L.Li",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Stachyurus chinensis var. latus H.L.Li",0,5,20,0,0,4,0,0,0,0,0,0,0,0
"Stachyurus himalaicus Hook.f. & Thomson ex Benth.",0,72,1,0,0,34,0,0,0,0,0,0,0,0
"Stachyurus obovatus (Rehder) Hand.-Mazz.",0,5,3,0,0,6,0,0,0,0,0,0,0,0
