"wcvp_name","gbif_name"
"Horsfieldia pulcherrima","Horsfieldia pulcherrima W.J.de Wilde"
"Horsfieldia pulverulenta","Horsfieldia pulverulenta Warb."
"Horsfieldia punctata","Horsfieldia punctata W.J.de Wilde"
"Horsfieldia punctatifolia","Horsfieldia punctatifolia J.Sinclair"
"Horsfieldia ralunensis","Horsfieldia ralunensis Warb."
"Horsfieldia reticulata","Horsfieldia reticulata Warb."
"Horsfieldia ridleyana","Horsfieldia ridleyana (King) Warb."
"Horsfieldia romblonensis","Horsfieldia romblonensis W.J.de Wilde"
"Horsfieldia rufolanata","Horsfieldia rufolanata Airy-Shaw"
"Horsfieldia sabulosa","Horsfieldia sabulosa J.Sinclair"
"Horsfieldia samarensis","Horsfieldia samarensis W.J.de Wilde"
"Horsfieldia schlechteri","Horsfieldia schlechteri Warb."
"Horsfieldia sepikensis","Horsfieldia sepikensis Markgr."
"Horsfieldia sessilifolia","Horsfieldia sessilifolia W.J.de Wilde"
"Horsfieldia sinclairii","Horsfieldia sinclairii W.J.de Wilde"
"Horsfieldia smithii","Horsfieldia smithii Warb."
"Horsfieldia sparsa","Horsfieldia sparsa W.J.de Wilde"
"Horsfieldia spicata","Horsfieldia spicata (Roxb.) J.Sinclair"
"Horsfieldia splendida","Horsfieldia splendida W.J.de Wilde"
"Horsfieldia squamulosa","Horsfieldia squamulosa W.J.de Wilde"
"Horsfieldia sterilis","Horsfieldia sterilis W.J.de Wilde"
"Horsfieldia subalpina","Horsfieldia subalpina J.Sinclair"
"Horsfieldia subalpina subsp. kinabaluensis","Horsfieldia subalpina subsp. kinabaluensis W.J.de Wilde"
"Horsfieldia subtilis","Horsfieldia subtilis (Miq.) Warb."
"Horsfieldia subtilis var. aucta","Horsfieldia subtilis var. aucta W.J.de Wilde"
"Horsfieldia subtilis var. auctissima","Horsfieldia subtilis var. auctissima W.J.de Wilde"
"Horsfieldia subtilis var. calcarea","Horsfieldia subtilis var. calcarea W.J.de Wilde"
"Horsfieldia subtilis var. rostrata","Horsfieldia subtilis var. rostrata (Markgr.) J.Sinclair"
"Horsfieldia sucosa","Horsfieldia sucosa (King) Warb."
"Horsfieldia sucosa subsp. bifissa","Horsfieldia sucosa subsp. bifissa W.J.de Wilde"
"Horsfieldia superba","Horsfieldia superba (Hook.fil. & Thomson) Warb."
"Horsfieldia sylvestris","Horsfieldia sylvestris (Houtt.) Warb."
"Horsfieldia talaudensis","Horsfieldia talaudensis W.J.de Wilde"
"Horsfieldia tenuifolia","Horsfieldia tenuifolia (Sinclair) W.J.de Wilde"
"Horsfieldia tomentosa","Horsfieldia tomentosa Warb."
"Horsfieldia triandra","Horsfieldia triandra W.J.de Wilde"
"Horsfieldia tristis","Horsfieldia tristis W.J.de Wilde"
"Horsfieldia tuberculata","Horsfieldia tuberculata (K.Schum.) Warb."
"Horsfieldia tuberculata var. crassivalva","Horsfieldia tuberculata var. crassivalva W.J.de Wilde"
"Horsfieldia urceolata","Horsfieldia urceolata W.J.de Wilde"
"Horsfieldia valida","Horsfieldia valida (Miq.) Warb."
"Horsfieldia wallichii","Horsfieldia wallichii (Hook.fil. & Thomson) Warb."
"Horsfieldia whitmorei","Horsfieldia whitmorei J.Sinclair"
"Horsfieldia xanthina","Horsfieldia xanthina Airy-Shaw"
"Horsfieldia xanthina subsp. macrophylla","Horsfieldia xanthina subsp. macrophylla W.J.de Wilde"
"Horsfordia","Horsfordia A.Gray"
"Horsfordia alata","Horsfordia alata (S.Watson) Gray"
"Horsfordia exalata","Horsfordia exalata Fryxell"
"Horsfordia newberryi","Horsfordia newberryi (S.Watson) Gray"
"Horsfordia rotundifolia","Horsfordia rotundifolia S.Watson"
"Horstrissea","Horstrissea Greuter, Gerstb. & Egli"
"Horstrissea dolinicola","Horstrissea dolinicola Greuter, Gerstb. & Egli"
"Hortia","Hortia Vand."
"Hortia brasiliana","Hortia brasiliana Vand. ex DC."
"Hortia coccinea","Hortia coccinea Spruce ex Engl."
"Hortia excelsa","Hortia excelsa Ducke"
"Hortia longifolia","Hortia longifolia Benth. ex Engl."
"Hortia neblinensis","Hortia neblinensis Maguire & B.M.Boom"
"Hortia nudipetala","Hortia nudipetala Groppo"
"Hortia oreadica","Hortia oreadica Groppo, Kallunki & Pirani"
"Hortia regia","Hortia regia Sandwith"
"Hortia superba","Hortia superba Ducke"
"Hortia vandelliana","Hortia vandelliana Groppo"
"Hortonia","Hortonia Wight"
"Hortonia angustifolia","Hortonia angustifolia (Thwaites) Trimen"
"Hortonia floribunda","Hortonia floribunda Wight ex Arn."
"Hortonia ovalifolia","Hortonia ovalifolia Wight"
"Horwoodia","Horwoodia Turrill"
"Horwoodia dicksoniae","Horwoodia dicksoniae Turrill"
"Hosackia","Hosackia Douglas ex Benth."
"Hosackia crassifolia","Hosackia crassifolia Benth."
"Hosackia gracilis","Hosackia gracilis Benth."
"Hosackia hintoniorum","Hosackia hintoniorum (B.L.Turner) D.D.Sokoloff"
"Galeopsis × haussknechtii","Galeopsis ×haussknechtii Ludw."
"Hosackia incana","Hosackia incana Torr."
"Hosackia oblongifolia","Hosackia oblongifolia Benth."
"Hosackia pinnata","Hosackia pinnata (Hook.) Abrams"
